['r', [14532, 14533]]
['r', [14541, 14542]]
['r', [14565, 14566]]
['r', [14577, 14578]]
['r', [14627, 14628]]
['r', [14638, 14639]]
['r', [14649, 14650]]
['r', [14682, 14683]]
['r', [14692, 14693]]
['r', [14708, 14709]]
['r', [14713, 14714]]
['r', [14726, 14727]]
['r', [14730, 14731]]
['r', [14784, 14785]]
['r', [14788, 14789]]
['r', [14792, 14793]]
['r', [14800, 14801]]
['r', [14811, 14812]]
['r', [14833, 14834]]
['r', [14843, 14844]]
['r', [14851, 14852]]
['r', [14866, 14867]]
['r', [14892, 14893]]
['r', [14916, 14917]]
['r', [14944, 14945]]
['r', [14953, 14954]]
['r', [14972, 14973]]
['r', [14997, 14998]]
['r', [15001, 15002]]
['r', [15028, 15029]]
['r', [15083, 15084]]
['r', [15107, 15108]]
['r', [15111, 15112]]
['r', [15144, 15145]]
['r', [15153, 15154]]
['r', [15167, 15168]]
['r', [15189, 15190]]
['r', [15193, 15194]]
['r', [15202, 15203]]
['r', [15206, 15207]]
['r', [15212, 15213]]
['r', [15221, 15222]]
['r', [15235, 15236]]
['r', [15244, 15245]]
['r', [15273, 15274]]
['r', [15289, 15290]]
['r', [15318, 15319]]
['r', [15325, 15326]]
['r', [15334, 15335]]
['r', [15339, 15340]]
['r', [15344, 15345]]
['r', [15397, 15398]]
['r', [15428, 15429]]
['r', [15436, 15437]]
['r', [15446, 15447]]
['r', [15471, 15472]]
['r', [15477, 15478]]
['r', [15492, 15493]]
['r', [15510, 15511]]
['r', [15519, 15520]]
['r', [15542, 15543]]
['r', [15552, 15553]]
['r', [15566, 15567]]
['r', [15573, 15574]]
['r', [15582, 15583]]
['r', [15594, 15595]]
['r', [15616, 15617]]
['r', [15621, 15622]]
['r', [15644, 15645]]
['r', [15653, 15654]]
['r', [15658, 15659]]
['r', [15730, 15731]]
['r', [15740, 15741]]
['r', [15754, 15755]]
['r', [15794, 15795]]
['r', [15829, 15830]]
['r', [15840, 15841]]
['r', [15859, 15860]]
['r', [15865, 15866]]
['r', [15901, 15902]]
['r', [15911, 15912]]
['r', [15927, 15928]]
['r', [15944, 15945]]
['r', [15957, 15958]]
['r', [15974, 15975]]
['r', [15997, 15998]]
['r', [16007, 16008]]
