['t', [5588, 5589]]
['t', [5599, 5600]]
['t', [5607, 5608]]
['t', [5623, 5624]]
['t', [5631, 5632]]
['t', [5637, 5638]]
['t', [5645, 5646]]
['t', [5673, 5674]]
['t', [5679, 5680]]
['t', [5691, 5692]]
['t', [5699, 5700]]
['t', [5717, 5718]]
['t', [5746, 5747]]
['t', [5752, 5753]]
['t', [5757, 5758]]
['t', [5760, 5761]]
['t', [5772, 5773]]
['t', [5774, 5775]]
['t', [5783, 5784]]
['t', [5806, 5807]]
['t', [5815, 5816]]
['t', [5825, 5826]]
['t', [5843, 5844]]
['t', [5849, 5850]]
['t', [5858, 5859]]
['t', [5871, 5872]]
['t', [5891, 5892]]
['t', [5907, 5908]]
['t', [5910, 5911]]
['t', [5927, 5928]]
['t', [5936, 5937]]
['t', [5957, 5958]]
['t', [5969, 5970]]
['t', [5975, 5976]]
['t', [6001, 6002]]
['t', [6007, 6008]]
['t', [6043, 6044]]
['t', [6055, 6056]]
['t', [6066, 6067]]
['t', [6069, 6070]]
['t', [6082, 6083]]
['t', [6094, 6095]]
['t', [6102, 6103]]
['t', [6129, 6130]]
['t', [6132, 6133]]
['t', [6136, 6137]]
['t', [6139, 6140]]
['t', [6146, 6147]]
['t', [6155, 6156]]
['t', [6163, 6164]]
['t', [6176, 6177]]
['t', [6192, 6193]]
['t', [6202, 6203]]
['t', [6224, 6225]]
['t', [6227, 6228]]
['t', [6229, 6230]]
['t', [6237, 6238]]
['t', [6273, 6274]]
['t', [6282, 6283]]
['t', [6336, 6337]]
['t', [6371, 6372]]
['t', [6383, 6384]]
['t', [6392, 6393]]
['t', [6403, 6404]]
['t', [6409, 6410]]
['t', [6418, 6419]]
['t', [6426, 6427]]
['t', [6435, 6436]]
['t', [6444, 6445]]
['t', [6469, 6470]]
['t', [6475, 6476]]
['t', [6477, 6478]]
['t', [6495, 6496]]
['t', [6507, 6508]]
['t', [6513, 6514]]
['t', [6525, 6526]]
['t', [6536, 6537]]
['t', [6552, 6553]]
['t', [6568, 6569]]
['t', [6576, 6577]]
['t', [6580, 6581]]
['t', [6583, 6584]]
['t', [6619, 6620]]
['t', [6627, 6628]]
['t', [6650, 6651]]
['t', [6663, 6664]]
['t', [6676, 6677]]
['t', [6686, 6687]]
['t', [6694, 6695]]
['t', [6706, 6707]]
['t', [6724, 6725]]
['t', [6730, 6731]]
['t', [6739, 6740]]
['t', [6770, 6771]]
['t', [6774, 6775]]
['t', [6785, 6786]]
['t', [6797, 6798]]
['t', [6808, 6809]]
['t', [6815, 6816]]
['t', [6834, 6835]]
['t', [6844, 6845]]
['t', [6864, 6865]]
['t', [6874, 6875]]
['t', [6898, 6899]]
['t', [6917, 6918]]
['t', [6920, 6921]]
['t', [6952, 6953]]
['t', [6955, 6956]]
['t', [6961, 6962]]
['t', [6966, 6967]]
['t', [6976, 6977]]
['t', [6979, 6980]]
['t', [6990, 6991]]
['t', [7002, 7003]]
['t', [7011, 7012]]
['t', [7023, 7024]]
['t', [7034, 7035]]
['t', [7046, 7047]]
['t', [7051, 7052]]
['t', [7056, 7057]]
['t', [7066, 7067]]
