['tc', [74700, 74702]]
['tc', [75109, 75111]]
['tc', [75601, 75603]]
['tc', [75728, 75730]]
['tc', [76031, 76033]]
['tc', [76170, 76172]]
['tc', [76239, 76241]]
['tc', [77055, 77057]]
['tc', [77627, 77629]]
['tc', [78766, 78768]]
['tc', [79749, 79751]]
['tc', [79848, 79850]]
['tc', [80137, 80139]]
['tc', [80234, 80236]]
['tc', [80322, 80324]]
['tc', [80343, 80345]]
['tc', [80438, 80440]]
['tc', [80487, 80489]]
['tc', [80739, 80741]]
['tc', [80899, 80901]]
['tc', [81026, 81028]]
['tc', [81186, 81188]]
['tc', [81388, 81390]]
['tc', [81673, 81675]]
['tc', [81791, 81793]]
['tc', [82475, 82477]]
['tc', [82716, 82718]]
['tc', [82788, 82790]]
['tc', [82887, 82889]]
['tc', [82972, 82974]]
['tc', [83118, 83120]]
['tc', [83323, 83325]]
['tc', [83460, 83462]]
['tc', [83548, 83550]]
['tc', [83957, 83959]]
['tc', [84449, 84451]]
['tc', [84576, 84578]]
['tc', [84879, 84881]]
['tc', [85018, 85020]]
['tc', [85087, 85089]]
['tc', [85903, 85905]]
['tc', [86475, 86477]]
['tc', [87614, 87616]]
['tc', [88597, 88599]]
['tc', [88696, 88698]]
['tc', [88985, 88987]]
['tc', [89082, 89084]]
['tc', [89170, 89172]]
['tc', [89191, 89193]]
['tc', [89286, 89288]]
['tc', [89335, 89337]]
['tc', [89587, 89589]]
['tc', [89747, 89749]]
['tc', [89874, 89876]]
['tc', [90034, 90036]]
['tc', [90236, 90238]]
['tc', [90521, 90523]]
['tc', [90639, 90641]]
['tc', [91323, 91325]]
['tc', [91488, 91490]]
['tc', [92627, 92629]]
['tc', [93671, 93673]]
['tc', [94810, 94812]]
['tc', [95794, 95796]]
['tc', [95893, 95895]]
['tc', [96182, 96184]]
['tc', [96279, 96281]]
['tc', [96366, 96368]]
['tc', [96465, 96467]]
['tc', [96754, 96756]]
['tc', [96851, 96853]]
['tc', [96940, 96942]]
['tc', [96961, 96963]]
['tc', [97056, 97058]]
['tc', [97105, 97107]]
['tc', [97357, 97359]]
['tc', [97517, 97519]]
['tc', [97644, 97646]]
['tc', [97804, 97806]]
['tc', [98006, 98008]]
['tc', [98169, 98171]]
['tc', [98190, 98192]]
['tc', [98285, 98287]]
['tc', [98334, 98336]]
['tc', [98586, 98588]]
['tc', [98746, 98748]]
['tc', [98873, 98875]]
['tc', [99033, 99035]]
['tc', [99235, 99237]]
['tc', [99521, 99523]]
['tc', [99639, 99641]]
['tc', [100323, 100325]]
['tc', [100553, 100555]]
['tc', [100671, 100673]]
['tc', [101355, 101357]]
['tc', [101788, 101790]]
['tc', [102740, 102742]]
['tc', [102767, 102769]]
['tc', [102919, 102921]]
['tc', [102958, 102960]]
['tc', [103393, 103395]]
['tc', [104345, 104347]]
['tc', [104372, 104374]]
['tc', [104524, 104526]]
['tc', [104563, 104565]]
['survivors', [475, 484]]
['survivors', [1057, 1066]]
['survivors', [16918, 16927]]
['survivors', [17502, 17511]]
['survivors', [73854, 73863]]
['survivors', [74005, 74014]]
['survivors', [82702, 82711]]
['survivors', [82853, 82862]]
['survivors', [102922, 102931]]
['survivors', [104527, 104536]]
['primordial', [1837, 1847]]
['primordial', [9586, 9596]]
['germ', [1493, 1497]]
['germ', [1621, 1625]]
['germ', [1848, 1852]]
