['6', [89129, 89130]]
['6', [89167, 89168]]
['6', [89227, 89228]]
['6', [89247, 89248]]
['6', [89277, 89278]]
['6', [89446, 89447]]
['6', [90331, 90332]]
['6', [90347, 90348]]
['6', [90389, 90390]]
['6', [90504, 90505]]
['6', [90514, 90515]]
['6', [90680, 90681]]
['6', [90754, 90755]]
['6', [90778, 90779]]
['6', [90821, 90822]]
['6', [90827, 90828]]
['6', [90879, 90880]]
['6', [90969, 90970]]
['6', [91014, 91015]]
['6', [91107, 91108]]
['6', [91288, 91289]]
['6', [91339, 91340]]
['6', [91438, 91439]]
['6', [91456, 91457]]
['6', [91495, 91496]]
['6', [91515, 91516]]
['6', [91598, 91599]]
['6', [91613, 91614]]
['6', [91749, 91750]]
['6', [92126, 92127]]
['6', [92142, 92143]]
['6', [92199, 92200]]
['6', [92246, 92247]]
['6', [92297, 92298]]
['6', [92302, 92303]]
['6', [92332, 92333]]
['6', [92508, 92509]]
['6', [92559, 92560]]
['6', [92569, 92570]]
['6', [92574, 92575]]
['6', [92584, 92585]]
['6', [92629, 92630]]
['6', [92664, 92665]]
['6', [92684, 92685]]
['6', [92816, 92817]]
['6', [93075, 93076]]
['6', [93091, 93092]]
['6', [93130, 93131]]
['6', [93192, 93193]]
['6', [93212, 93213]]
['6', [93216, 93217]]
['6', [93317, 93318]]
['6', [93322, 93323]]
['6', [93396, 93397]]
['6', [93465, 93466]]
['6', [93495, 93496]]
['mathematical', [7195, 7207]]
['details', [7208, 7215]]
['\xe2\x80\x98standardized\xe2\x80\x99', [7780, 7798]]
['\xe2\x80\x98standardized\xe2\x80\x99', [8133, 8151]]
['form', [2308, 2312]]
['form', [5136, 5140]]
['form', [5850, 5854]]
['form', [6292, 6296]]
['form', [6938, 6942]]
['form', [7556, 7560]]
['form', [7799, 7803]]
['form', [9704, 9708]]
