['gp120-iiib', [20924, 20934]]
['gp120-iiib', [21083, 21093]]
['gp120-iiib', [21247, 21257]]
['gp120-iiib', [21572, 21582]]
['gp120-iiib', [22335, 22345]]
['gp120-iiib', [22365, 22375]]
['gp120-iiib', [22597, 22607]]
['gp120-iiib', [22858, 22868]]
['gp120-iiib', [22939, 22949]]
['gp120-iiib', [23151, 23161]]
['gp120-iiib', [23251, 23261]]
['gp120-iiib', [23366, 23376]]
['gp120-iiib', [23437, 23447]]
['gp120-iiib', [23596, 23606]]
['gp120-iiib', [23760, 23770]]
['gp120-iiib', [24085, 24095]]
['gp120-iiib', [25460, 25470]]
['gp120-iiib', [25490, 25500]]
['gp120-iiib', [25722, 25732]]
['gp120-iiib', [25983, 25993]]
['gp120-iiib', [26064, 26074]]
['gp120-iiib', [26276, 26286]]
['gp120-iiib', [26367, 26377]]
['gp120-iiib', [26397, 26407]]
