['probe', [55835, 55840]]
['probe', [58996, 59001]]
['probe', [60795, 60800]]
['genome', [1397, 1403]]
['genome', [4066, 4072]]
['ad', [109, 111]]
['ad', [314, 316]]
['ad', [380, 382]]
['ad', [1189, 1191]]
['ad', [1492, 1494]]
['ad', [1516, 1518]]
['ad', [1607, 1609]]
['ad', [1680, 1682]]
['ad', [1733, 1735]]
['ad', [2167, 2169]]
['ad', [2482, 2484]]
['ad', [2610, 2612]]
['ad', [2671, 2673]]
['ad', [2831, 2833]]
['ad', [3032, 3034]]
['ad', [3135, 3137]]
['ad', [3730, 3732]]
['ad', [3784, 3786]]
['ad', [3979, 3981]]
['ad', [4196, 4198]]
['ad', [4903, 4905]]
['ad', [5398, 5400]]
['ad', [5727, 5729]]
['ad', [5989, 5991]]
['ad', [6405, 6407]]
['ad', [7009, 7011]]
['ad', [7605, 7607]]
['ad', [8167, 8169]]
['ad', [8266, 8268]]
['ad', [8695, 8697]]
['ad', [8725, 8727]]
['ad', [9180, 9182]]
['ad', [10125, 10127]]
['ad', [10440, 10442]]
['ad', [10718, 10720]]
['ad', [10803, 10805]]
['ad', [10965, 10967]]
['ad', [11089, 11091]]
['ad', [11298, 11300]]
['ad', [11647, 11649]]
['ad', [12352, 12354]]
['ad', [12575, 12577]]
['ad', [13002, 13004]]
['ad', [13097, 13099]]
['ad', [13503, 13505]]
['ad', [13627, 13629]]
['ad', [13892, 13894]]
['ad', [14068, 14070]]
['ad', [14459, 14461]]
['ad', [14788, 14790]]
['ad', [15050, 15052]]
['ad', [15467, 15469]]
['ad', [16071, 16073]]
['ad', [16667, 16669]]
['ad', [17230, 17232]]
['ad', [17329, 17331]]
['ad', [17758, 17760]]
['ad', [17788, 17790]]
['ad', [18243, 18245]]
['ad', [19188, 19190]]
['ad', [19503, 19505]]
['ad', [19781, 19783]]
['ad', [19866, 19868]]
['ad', [20028, 20030]]
['ad', [20152, 20154]]
['ad', [20361, 20363]]
['ad', [20710, 20712]]
['ad', [21330, 21332]]
['ad', [21429, 21431]]
['ad', [21859, 21861]]
['ad', [21889, 21891]]
['ad', [22344, 22346]]
['ad', [23290, 23292]]
['ad', [23606, 23608]]
['ad', [23884, 23886]]
['ad', [23969, 23971]]
['ad', [24131, 24133]]
['ad', [24256, 24258]]
['ad', [24465, 24467]]
['ad', [24814, 24816]]
['ad', [25520, 25522]]
['ad', [25743, 25745]]
['ad', [26170, 26172]]
['ad', [26265, 26267]]
['ad', [26671, 26673]]
['ad', [26795, 26797]]
['ad', [27060, 27062]]
['ad', [27236, 27238]]
['ad', [27819, 27821]]
['ad', [28043, 28045]]
['ad', [28470, 28472]]
['ad', [28565, 28567]]
['ad', [28971, 28973]]
['ad', [29096, 29098]]
['ad', [29361, 29363]]
['ad', [29537, 29539]]
['ad', [29752, 29754]]
