['igf', [69984, 69987]]
['igf', [70167, 70170]]
['igf', [70234, 70237]]
['igf', [70417, 70420]]
['igf', [70537, 70540]]
['igf', [70556, 70559]]
['igf', [70608, 70611]]
['igf', [70670, 70673]]
['igf', [70727, 70730]]
['igf', [70873, 70876]]
['igf', [70976, 70979]]
['igf', [71032, 71035]]
['igf', [71139, 71142]]
['igf', [71148, 71151]]
['igf', [71481, 71484]]
['igf', [71619, 71622]]
['igf', [72425, 72428]]
['igf', [72432, 72435]]
['igf', [72571, 72574]]
['igf', [72696, 72699]]
['igf', [72719, 72722]]
['igf', [72894, 72897]]
['igf', [72929, 72932]]
['igf', [73029, 73032]]
['igf', [73073, 73076]]
['igf', [73214, 73217]]
['igf', [73258, 73261]]
['igf', [73313, 73316]]
['igf', [73407, 73410]]
['igf', [73616, 73619]]
['igf', [73829, 73832]]
['igf', [73848, 73851]]
['igf', [73925, 73928]]
['igf', [74068, 74071]]
['igf', [74213, 74216]]
['igf', [74271, 74274]]
['igf', [74390, 74393]]
['igf', [75194, 75197]]
['igf', [75362, 75365]]
['igf', [75456, 75459]]
['igf', [75560, 75563]]
['igf', [75830, 75833]]
['igf', [76602, 76605]]
['igf', [76690, 76693]]
['igf', [76893, 76896]]
['igf', [77055, 77058]]
['igf', [77431, 77434]]
['igf', [78777, 78780]]
['igf', [79013, 79016]]
['igf', [79177, 79180]]
['igf', [79392, 79395]]
['igf', [79590, 79593]]
['igf', [79704, 79707]]
['igf', [79861, 79864]]
['igf', [79951, 79954]]
['igf', [80211, 80214]]
['igf', [80315, 80318]]
['igf', [80423, 80426]]
['igf', [80455, 80458]]
['igf', [80647, 80650]]
['igf', [81269, 81272]]
['igf', [81355, 81358]]
['igf', [81472, 81475]]
['igf', [81646, 81649]]
['igf', [82365, 82368]]
['igf', [82375, 82378]]
['igf', [82437, 82440]]
['igf', [82528, 82531]]
['igf', [82722, 82725]]
['igf', [82767, 82770]]
['igf', [82845, 82848]]
['igf', [83105, 83108]]
['igf', [83227, 83230]]
['igf', [83318, 83321]]
['igf', [83516, 83519]]
['igf', [83638, 83641]]
['igf', [83749, 83752]]
['igf', [83771, 83774]]
['igf', [83898, 83901]]
['igf', [84355, 84358]]
['igf', [84446, 84449]]
['igf', [84897, 84900]]
['igf', [84988, 84991]]
['igf', [85625, 85628]]
['igf', [85716, 85719]]
['igf', [86805, 86808]]
['igf', [86896, 86899]]
['igf', [87557, 87560]]
['igf', [87661, 87664]]
['igf', [87769, 87772]]
['igf', [87801, 87804]]
['igf', [87993, 87996]]
['igf', [88615, 88618]]
['igf', [88701, 88704]]
['igf', [88818, 88821]]
['igf', [88992, 88995]]
['igf', [89711, 89714]]
['igf', [89721, 89724]]
['igf', [89783, 89786]]
['igf', [89874, 89877]]
['igf', [90068, 90071]]
['igf', [90113, 90116]]
['igf', [90191, 90194]]
['igf', [90451, 90454]]
['igf', [90573, 90576]]
['igf', [90664, 90667]]
['igf', [90862, 90865]]
['igf', [90984, 90987]]
['igf', [91095, 91098]]
['igf', [91117, 91120]]
['igf', [91244, 91247]]
['igf', [91701, 91704]]
['igf', [91792, 91795]]
['igf', [92243, 92246]]
['igf', [92334, 92337]]
['igf', [92971, 92974]]
['igf', [93062, 93065]]
['igf', [94151, 94154]]
['igf', [94242, 94245]]
['binding', [437, 444]]
['binding', [5786, 5793]]
['binding', [6738, 6745]]
['binding', [14838, 14845]]
['binding', [15790, 15797]]
['binding', [25509, 25516]]
['binding', [34569, 34576]]
['binding', [43621, 43628]]
['binding', [47022, 47029]]
['protein', [158, 165]]
['protein', [445, 452]]
['protein', [577, 584]]
['protein', [1145, 1152]]
['protein', [1214, 1221]]
['protein', [1347, 1354]]
['protein', [1798, 1805]]
['protein', [2241, 2248]]
['protein', [2317, 2324]]
['protein', [2420, 2427]]
['protein', [2592, 2599]]
['protein', [2909, 2916]]
['protein', [3648, 3655]]
['protein', [4353, 4360]]
['protein', [4920, 4927]]
['protein', [5187, 5194]]
['protein', [5794, 5801]]
['protein', [6746, 6753]]
['protein', [7482, 7489]]
['protein', [10514, 10521]]
['protein', [11733, 11740]]
['protein', [12884, 12891]]
['protein', [12923, 12930]]
['protein', [14846, 14853]]
['protein', [15798, 15805]]
['protein', [16534, 16541]]
['protein', [19567, 19574]]
['protein', [20786, 20793]]
['protein', [21938, 21945]]
['protein', [21977, 21984]]
['protein', [23677, 23684]]
['protein', [24023, 24030]]
['protein', [24101, 24108]]
['protein', [24246, 24253]]
['protein', [24377, 24384]]
['protein', [24425, 24432]]
['protein', [25517, 25524]]
['protein', [26732, 26739]]
['protein', [26809, 26816]]
['protein', [28229, 28236]]
['protein', [28282, 28289]]
['protein', [28455, 28462]]
['protein', [29115, 29122]]
['protein', [30081, 30088]]
['protein', [30215, 30222]]
['protein', [31335, 31342]]
['protein', [32737, 32744]]
['protein', [33083, 33090]]
['protein', [33161, 33168]]
['protein', [33306, 33313]]
['protein', [33437, 33444]]
['protein', [33485, 33492]]
['protein', [34577, 34584]]
['protein', [35792, 35799]]
['protein', [35869, 35876]]
['protein', [37289, 37296]]
['protein', [37342, 37349]]
['protein', [37515, 37522]]
['protein', [38175, 38182]]
['protein', [39141, 39148]]
['protein', [39275, 39282]]
