['1', [47013, 47014]]
['1', [47048, 47049]]
['1', [47083, 47084]]
['1', [47888, 47889]]
['1', [47916, 47917]]
['1', [47941, 47942]]
['1', [47951, 47952]]
['1', [47976, 47977]]
['1', [47986, 47987]]
['1', [48244, 48245]]
['1', [48284, 48285]]
['1', [48294, 48295]]
['1', [48819, 48820]]
['1', [48847, 48848]]
['1', [48882, 48883]]
['1', [48917, 48918]]
['1', [49159, 49160]]
['1', [49207, 49208]]
['1', [49211, 49212]]
['1', [49227, 49228]]
['1', [49269, 49270]]
['1', [49839, 49840]]
['1', [49896, 49897]]
['1', [50791, 50792]]
['1', [50819, 50820]]
['1', [50844, 50845]]
['1', [50854, 50855]]
['1', [50879, 50880]]
['1', [50889, 50890]]
['1', [51147, 51148]]
['1', [51187, 51188]]
['1', [51197, 51198]]
['1', [51722, 51723]]
['1', [51750, 51751]]
['1', [51785, 51786]]
['1', [51820, 51821]]
['1', [52062, 52063]]
['1', [52110, 52111]]
['1', [52114, 52115]]
['1', [52130, 52131]]
['1', [52172, 52173]]
['1', [52742, 52743]]
['1', [52799, 52800]]
['1', [53392, 53393]]
['1', [53414, 53415]]
['1', [53576, 53577]]
['1', [53585, 53586]]
['1', [53998, 53999]]
['1', [54020, 54021]]
['1', [54182, 54183]]
['1', [54191, 54192]]
['1', [54881, 54882]]
['1', [54882, 54883]]
['1', [55685, 55686]]
['1', [55686, 55687]]
['1', [55690, 55691]]
['1', [55697, 55698]]
['1', [56081, 56082]]
['1', [56088, 56089]]
['1', [59886, 59887]]
['1', [59887, 59888]]
