['rda', [15100, 15103]]
['rda', [38939, 38942]]
['rda', [47200, 47203]]
['cis', [10201, 10204]]
['cis', [17027, 17030]]
['cis', [20637, 20640]]
['cis', [21455, 21458]]
['cis', [25870, 25873]]
['cis', [26688, 26691]]
['cis', [30366, 30369]]
['cis', [31184, 31187]]
['cis', [32348, 32351]]
['cis', [33166, 33169]]
['cis', [56629, 56632]]
['cis', [58433, 58436]]
['cis', [61419, 61422]]
['cis', [63223, 63226]]
['g\\/dl', [6256, 6261]]
['g\\/dl', [6340, 6345]]
['g\\/dl', [10647, 10652]]
['g\\/dl', [11036, 11041]]
['g\\/dl', [11127, 11132]]
['g\\/dl', [13081, 13086]]
['g\\/dl', [13165, 13170]]
['g\\/dl', [17473, 17478]]
['g\\/dl', [17862, 17867]]
['g\\/dl', [17953, 17958]]
['g\\/dl', [56484, 56489]]
['g\\/dl', [56971, 56976]]
['g\\/dl', [57188, 57193]]
['g\\/dl', [58156, 58161]]
['g\\/dl', [61274, 61279]]
['g\\/dl', [61761, 61766]]
['g\\/dl', [61978, 61983]]
['g\\/dl', [62946, 62951]]
['units', [10652, 10657]]
['units', [11283, 11288]]
['units', [11367, 11372]]
['units', [17478, 17483]]
['units', [18109, 18114]]
['units', [18193, 18198]]
['data', [3391, 3395]]
['data', [4074, 4078]]
['data', [5254, 5258]]
['data', [11483, 11487]]
['data', [12079, 12083]]
['data', [18310, 18314]]
['data', [19420, 19424]]
['data', [19528, 19532]]
['data', [19576, 19580]]
['data', [20272, 20276]]
['data', [20359, 20363]]
['data', [22321, 22325]]
['data', [24653, 24657]]
['data', [24761, 24765]]
['data', [24809, 24813]]
['data', [25505, 25509]]
['data', [25592, 25596]]
['data', [27554, 27558]]
['data', [30001, 30005]]
['data', [30088, 30092]]
['data', [31983, 31987]]
['data', [32070, 32074]]
['data', [34033, 34037]]
['data', [34767, 34771]]
['data', [40700, 40704]]
['data', [42925, 42929]]
['data', [43235, 43239]]
['data', [48961, 48965]]
['data', [51186, 51190]]
['data', [51496, 51500]]
['data', [55032, 55036]]
['data', [56165, 56169]]
['data', [57500, 57504]]
['data', [59526, 59530]]
['data', [59822, 59826]]
['data', [60955, 60959]]
['data', [62290, 62294]]
['data', [64316, 64320]]
['table', [382, 387]]
['table', [2267, 2272]]
['table', [2402, 2407]]
['table', [2989, 2994]]
['table', [5780, 5785]]
['table', [5836, 5841]]
['table', [12605, 12610]]
['table', [12661, 12666]]
['table', [18968, 18973]]
['table', [19824, 19829]]
['table', [19989, 19994]]
['table', [21361, 21366]]
['table', [21791, 21796]]
['table', [22046, 22051]]
['table', [22789, 22794]]
['table', [23380, 23385]]
['table', [23832, 23837]]
['table', [24201, 24206]]
['table', [25057, 25062]]
['table', [25222, 25227]]
['table', [26594, 26599]]
['table', [27024, 27029]]
['table', [27279, 27284]]
['table', [28022, 28027]]
['table', [28613, 28618]]
['table', [29065, 29070]]
['table', [29553, 29558]]
['table', [29718, 29723]]
['table', [31090, 31095]]
['table', [31535, 31540]]
['table', [31700, 31705]]
['table', [33072, 33077]]
['table', [33503, 33508]]
['table', [33758, 33763]]
['table', [34237, 34242]]
['table', [34492, 34497]]
['table', [35236, 35241]]
['table', [35827, 35832]]
['table', [36279, 36284]]
['table', [37018, 37023]]
['table', [37609, 37614]]
['table', [38061, 38066]]
['table', [38647, 38652]]
['table', [39193, 39198]]
['table', [39325, 39330]]
['table', [39507, 39512]]
['table', [40133, 40138]]
['table', [40492, 40497]]
['table', [42485, 42490]]
['table', [42737, 42742]]
['table', [43641, 43646]]
['table', [44538, 44543]]
['table', [45920, 45925]]
['table', [46908, 46913]]
['table', [47454, 47459]]
['table', [47586, 47591]]
['table', [47768, 47773]]
['table', [48394, 48399]]
['table', [48753, 48758]]
['table', [50746, 50751]]
['table', [50998, 51003]]
['table', [51902, 51907]]
['table', [52799, 52804]]
['table', [54181, 54186]]
['table', [54883, 54888]]
['table', [55601, 55606]]
['table', [56331, 56336]]
['table', [58000, 58005]]
['table', [59673, 59678]]
['table', [60391, 60396]]
['table', [61121, 61126]]
['table', [62790, 62795]]
['1', [142, 143]]
['1', [762, 763]]
['1', [867, 868]]
['1', [1078, 1079]]
['1', [1267, 1268]]
['1', [2208, 2209]]
['1', [2641, 2642]]
['1', [4208, 4209]]
['1', [4507, 4508]]
['1', [4508, 4509]]
['1', [4658, 4659]]
['1', [5721, 5722]]
['1', [5786, 5787]]
['1', [6007, 6008]]
['1', [6251, 6252]]
['1', [6335, 6336]]
['1', [6853, 6854]]
['1', [6952, 6953]]
['1', [7024, 7025]]
['1', [7283, 7284]]
['1', [7312, 7313]]
['1', [7653, 7654]]
['1', [8295, 8296]]
['1', [8327, 8328]]
['1', [8490, 8491]]
['1', [8520, 8521]]
['1', [9047, 9048]]
['1', [9096, 9097]]
['1', [9167, 9168]]
['1', [9714, 9715]]
['1', [9834, 9835]]
['1', [10114, 10115]]
['1', [10498, 10499]]
['1', [10681, 10682]]
['1', [10853, 10854]]
['1', [11463, 11464]]
['1', [11709, 11710]]
['1', [11766, 11767]]
['1', [12546, 12547]]
['1', [12611, 12612]]
['1', [12832, 12833]]
['1', [13076, 13077]]
['1', [13160, 13161]]
['1', [13679, 13680]]
['1', [13778, 13779]]
['1', [13850, 13851]]
['1', [14109, 14110]]
['1', [14138, 14139]]
['1', [14479, 14480]]
['1', [15121, 15122]]
['1', [15153, 15154]]
['1', [15316, 15317]]
['1', [15346, 15347]]
['1', [15873, 15874]]
['1', [15922, 15923]]
['1', [15993, 15994]]
['1', [16540, 16541]]
['1', [16660, 16661]]
['1', [16940, 16941]]
['1', [17324, 17325]]
['1', [17507, 17508]]
['1', [17679, 17680]]
['1', [18290, 18291]]
['1', [18536, 18537]]
['1', [18593, 18594]]
['1', [18974, 18975]]
['1', [19247, 19248]]
['1', [19608, 19609]]
['1', [19838, 19839]]
['1', [19969, 19970]]
['1', [20083, 20084]]
['1', [20115, 20116]]
['1', [20634, 20635]]
['1', [20702, 20703]]
['1', [20732, 20733]]
['1', [20769, 20770]]
['1', [20815, 20816]]
['1', [20827, 20828]]
['1', [20957, 20958]]
['1', [21014, 21015]]
['1', [21077, 21078]]
['1', [21132, 21133]]
['1', [21208, 21209]]
['1', [21282, 21283]]
['1', [21539, 21540]]
['1', [21767, 21768]]
['1', [21778, 21779]]
['1', [21891, 21892]]
['1', [21918, 21919]]
['1', [22147, 22148]]
['1', [22180, 22181]]
['1', [22470, 22471]]
['1', [22624, 22625]]
['1', [22772, 22773]]
['1', [22782, 22783]]
['1', [22970, 22971]]
['1', [23691, 23692]]
['1', [23782, 23783]]
['1', [23915, 23916]]
['1', [24115, 24116]]
['1', [24207, 24208]]
['1', [24480, 24481]]
['1', [24841, 24842]]
['1', [25071, 25072]]
['1', [25202, 25203]]
['1', [25316, 25317]]
['1', [25348, 25349]]
['1', [25867, 25868]]
['1', [25935, 25936]]
['1', [25965, 25966]]
['1', [26002, 26003]]
['1', [26048, 26049]]
['1', [26060, 26061]]
['1', [26190, 26191]]
['1', [26247, 26248]]
['1', [26310, 26311]]
['1', [26365, 26366]]
['1', [26441, 26442]]
['1', [26515, 26516]]
['1', [26772, 26773]]
['1', [27000, 27001]]
['1', [27011, 27012]]
['1', [27124, 27125]]
['1', [27151, 27152]]
['1', [27380, 27381]]
['1', [27413, 27414]]
['1', [27703, 27704]]
['1', [27857, 27858]]
['1', [28005, 28006]]
['1', [28015, 28016]]
['1', [28203, 28204]]
['1', [28924, 28925]]
['1', [29015, 29016]]
['1', [29148, 29149]]
['1', [29348, 29349]]
['1', [29567, 29568]]
['1', [29698, 29699]]
['1', [29812, 29813]]
['1', [29844, 29845]]
['1', [30363, 30364]]
['1', [30431, 30432]]
['1', [30461, 30462]]
['1', [30498, 30499]]
['1', [30544, 30545]]
['1', [30556, 30557]]
['1', [30686, 30687]]
['1', [30743, 30744]]
['1', [30806, 30807]]
['1', [30861, 30862]]
['1', [30937, 30938]]
['1', [31011, 31012]]
['1', [31268, 31269]]
['1', [31549, 31550]]
['1', [31680, 31681]]
['1', [31794, 31795]]
