['data', [47981, 47985]]
['data', [48301, 48305]]
['data', [48322, 48326]]
['data', [48808, 48812]]
['data', [49175, 49179]]
['data', [52757, 52761]]
['data', [52932, 52936]]
['data', [53251, 53255]]
['data', [53272, 53276]]
['data', [53758, 53762]]
['data', [54125, 54129]]
['data', [57705, 57709]]
['data', [57880, 57884]]
['data', [58199, 58203]]
['data', [58220, 58224]]
['data', [58706, 58710]]
['data', [59073, 59077]]
['data', [66079, 66083]]
['data', [66305, 66309]]
['data', [67064, 67068]]
['data', [67211, 67215]]
['data', [67538, 67542]]
['data', [67706, 67710]]
['data', [72808, 72812]]
['data', [73034, 73038]]
['data', [73793, 73797]]
['data', [73940, 73944]]
['data', [74267, 74271]]
['data', [74435, 74439]]
['data', [77309, 77313]]
['data', [77329, 77333]]
['data', [78613, 78617]]
['data', [82822, 82826]]
['data', [82842, 82846]]
['data', [84126, 84130]]
['demographic', [2124, 2135]]
['demographic', [12780, 12791]]
['demographic', [12934, 12945]]
['demographic', [13093, 13104]]
['demographic', [25447, 25458]]
['demographic', [25820, 25831]]
['demographic', [25905, 25916]]
['demographic', [25959, 25970]]
['demographic', [32886, 32897]]
['demographic', [33040, 33051]]
['demographic', [33200, 33211]]
['demographic', [45555, 45566]]
['demographic', [45928, 45939]]
['demographic', [46013, 46024]]
['demographic', [46067, 46078]]
['demographic', [51228, 51239]]
['demographic', [51311, 51322]]
['demographic', [51476, 51487]]
['demographic', [51597, 51608]]
['demographic', [56177, 56188]]
['demographic', [56260, 56271]]
['demographic', [56425, 56436]]
['demographic', [56546, 56557]]
['demographic', [61125, 61136]]
['demographic', [61208, 61219]]
['demographic', [61373, 61384]]
['demographic', [61494, 61505]]
['demographic', [67556, 67567]]
['demographic', [74285, 74296]]
['demographic', [76064, 76075]]
['demographic', [79444, 79455]]
['demographic', [80392, 80403]]
['demographic', [81081, 81092]]
['demographic', [81577, 81588]]
['demographic', [84957, 84968]]
['demographic', [85905, 85916]]
['demographic', [86594, 86605]]
['factors', [2136, 2143]]
['factors', [2340, 2347]]
['factors', [2666, 2673]]
['factors', [2956, 2963]]
['factors', [8238, 8245]]
['factors', [12056, 12063]]
['factors', [24929, 24936]]
['factors', [25017, 25024]]
['factors', [25193, 25200]]
['factors', [28344, 28351]]
['factors', [32162, 32169]]
['factors', [45037, 45044]]
['factors', [45125, 45132]]
['factors', [45301, 45308]]
['factors', [64812, 64819]]
['factors', [69270, 69277]]
['factors', [71541, 71548]]
['factors', [75999, 76006]]
['psychosocial', [2327, 2339]]
['psychosocial', [14089, 14101]]
['psychosocial', [34196, 34208]]
['external', [2657, 2665]]
['external', [2947, 2955]]
['external', [64652, 64660]]
['external', [71381, 71389]]
['sct', [3053, 3056]]
['sct', [4099, 4102]]
['hispanic', [1311, 1319]]
['hispanic', [1395, 1403]]
['hispanic', [1821, 1829]]
['hispanic', [1838, 1846]]
['hispanic', [2012, 2020]]
['hispanic', [5447, 5455]]
['hispanic', [5701, 5709]]
['hispanic', [6731, 6739]]
['hispanic', [7811, 7819]]
['hispanic', [8043, 8051]]
['hispanic', [8480, 8488]]
['hispanic', [19443, 19451]]
['hispanic', [25288, 25296]]
['hispanic', [27917, 27925]]
['hispanic', [28149, 28157]]
['hispanic', [28586, 28594]]
['hispanic', [39550, 39558]]
['hispanic', [45396, 45404]]
['hispanic', [67849, 67857]]
['hispanic', [67957, 67965]]
['hispanic', [68177, 68185]]
['hispanic', [68252, 68260]]
['hispanic', [68266, 68274]]
['hispanic', [68351, 68359]]
['hispanic', [68531, 68539]]
['hispanic', [68566, 68574]]
['hispanic', [69149, 69157]]
['hispanic', [74578, 74586]]
['hispanic', [74686, 74694]]
['hispanic', [74906, 74914]]
['hispanic', [74981, 74989]]
['hispanic', [74995, 75003]]
['hispanic', [75080, 75088]]
['hispanic', [75260, 75268]]
['hispanic', [75295, 75303]]
['hispanic', [75878, 75886]]
