['g', [3420, 3421]]
['g', [3780, 3781]]
['g', [3818, 3819]]
['g', [3895, 3896]]
['g', [3930, 3931]]
['g', [4026, 4027]]
['g', [4089, 4090]]
['g', [4121, 4122]]
['g', [4179, 4180]]
['g', [4396, 4397]]
['g', [4492, 4493]]
['g', [4549, 4550]]
['g', [4647, 4648]]
['g', [4654, 4655]]
['g', [4694, 4695]]
['g', [4709, 4710]]
['g', [4825, 4826]]
['g', [5379, 5380]]
['g', [5392, 5393]]
['g', [5422, 5423]]
['g', [5502, 5503]]
['g', [5569, 5570]]
['g', [5607, 5608]]
['g', [5614, 5615]]
['g', [5886, 5887]]
['g', [5926, 5927]]
['g', [5962, 5963]]
['g', [6028, 6029]]
['g', [6193, 6194]]
['g', [6218, 6219]]
['g', [6277, 6278]]
['g', [6307, 6308]]
['g', [6345, 6346]]
['g', [6569, 6570]]
['g', [6623, 6624]]
['g', [6680, 6681]]
['g', [6738, 6739]]
['g', [6809, 6810]]
['g', [6856, 6857]]
['g', [7053, 7054]]
['g', [7142, 7143]]
['g', [7225, 7226]]
['g', [7289, 7290]]
['g', [7416, 7417]]
['g', [7452, 7453]]
['g', [7582, 7583]]
['g', [7588, 7589]]
['g', [7615, 7616]]
['g', [7725, 7726]]
['g', [7738, 7739]]
['g', [7761, 7762]]
['g', [7769, 7770]]
['g', [7836, 7837]]
['g', [7860, 7861]]
['g', [7869, 7870]]
['g', [7876, 7877]]
['g', [7986, 7987]]
['g', [8115, 8116]]
['g', [8209, 8210]]
['g', [8270, 8271]]
['g', [8297, 8298]]
['g', [8333, 8334]]
['g', [8401, 8402]]
['g', [8469, 8470]]
['g', [8500, 8501]]
['g', [8572, 8573]]
['g', [8718, 8719]]
['g', [8776, 8777]]
['g', [8859, 8860]]
['g', [8862, 8863]]
['g', [9181, 9182]]
['g', [9252, 9253]]
['g', [9285, 9286]]
['g', [9481, 9482]]
['g', [9586, 9587]]
['g', [9672, 9673]]
['g', [9760, 9761]]
['g', [9970, 9971]]
['g', [10037, 10038]]
['g', [10080, 10081]]
['g', [10164, 10165]]
['g', [10338, 10339]]
['g', [10480, 10481]]
['g', [10573, 10574]]
['g', [10710, 10711]]
['g', [10861, 10862]]
['g', [10903, 10904]]
['g', [11044, 11045]]
['g', [11137, 11138]]
['g', [11237, 11238]]
['g', [11245, 11246]]
['g', [11352, 11353]]
['g', [11583, 11584]]
['g', [11768, 11769]]
['g', [11881, 11882]]
['g', [12101, 12102]]
['g', [12150, 12151]]
['g', [12194, 12195]]
['g', [12269, 12270]]
['g', [12578, 12579]]
['g', [12700, 12701]]
['g', [12734, 12735]]
['g', [12836, 12837]]
['g', [12861, 12862]]
['g', [13092, 13093]]
['g', [13136, 13137]]
['g', [13211, 13212]]
['g', [13500, 13501]]
['g', [13513, 13514]]
['g', [13543, 13544]]
['g', [13623, 13624]]
['g', [13690, 13691]]
['g', [13728, 13729]]
['g', [13735, 13736]]
['g', [14007, 14008]]
['g', [14047, 14048]]
['g', [14083, 14084]]
['g', [14149, 14150]]
['g', [14314, 14315]]
['g', [14339, 14340]]
['g', [14398, 14399]]
['g', [14428, 14429]]
['g', [14466, 14467]]
['g', [14691, 14692]]
['g', [14745, 14746]]
['g', [14802, 14803]]
['g', [14860, 14861]]
['g', [14931, 14932]]
['g', [14978, 14979]]
['g', [15175, 15176]]
['g', [15264, 15265]]
['g', [15347, 15348]]
['g', [15411, 15412]]
['g', [15538, 15539]]
['g', [15574, 15575]]
['g', [15704, 15705]]
['g', [15710, 15711]]
['g', [15737, 15738]]
['g', [15847, 15848]]
['g', [15860, 15861]]
['g', [15883, 15884]]
['g', [15891, 15892]]
['g', [15958, 15959]]
['g', [15982, 15983]]
['g', [15991, 15992]]
['g', [15998, 15999]]
['g', [16108, 16109]]
['g', [16237, 16238]]
['g', [16331, 16332]]
['g', [16392, 16393]]
['g', [16419, 16420]]
['g', [16455, 16456]]
['g', [16523, 16524]]
['g', [16591, 16592]]
['g', [16622, 16623]]
['g', [16694, 16695]]
['g', [16841, 16842]]
['g', [16899, 16900]]
['g', [16982, 16983]]
['g', [16985, 16986]]
['g', [17304, 17305]]
['g', [17375, 17376]]
['g', [17408, 17409]]
['g', [17604, 17605]]
['g', [17709, 17710]]
['g', [17795, 17796]]
['g', [17883, 17884]]
