['wnt5a', [84810, 84815]]
['wnt5a', [85131, 85136]]
['wnt5a', [85173, 85178]]
['wnt5a', [85381, 85386]]
['wnt5a', [85541, 85546]]
['wnt5a', [85593, 85598]]
['wnt5a', [85681, 85686]]
['wnt5a', [85771, 85776]]
['wnt5a', [85824, 85829]]
['wnt5a', [85990, 85995]]
['wnt5a', [86059, 86064]]
['wnt5a', [86134, 86139]]
['wnt5a', [86228, 86233]]
['wnt5a', [86272, 86277]]
['wnt5a', [86369, 86374]]
['wnt5a', [86445, 86450]]
['wnt5a', [86829, 86834]]
['wnt5a', [87121, 87126]]
['wnt5a', [87346, 87351]]
['wnt5a', [87422, 87427]]
['wnt5a', [87675, 87680]]
['wnt5a', [87996, 88001]]
['wnt5a', [88038, 88043]]
['wnt5a', [88246, 88251]]
['wnt5a', [88406, 88411]]
['wnt5a', [88458, 88463]]
['wnt5a', [88546, 88551]]
['wnt5a', [88636, 88641]]
['wnt5a', [88689, 88694]]
['wnt5a', [88855, 88860]]
['wnt5a', [88924, 88929]]
['wnt5a', [88999, 89004]]
['wnt5a', [89093, 89098]]
['wnt5a', [89137, 89142]]
['wnt5a', [89234, 89239]]
['wnt5a', [89310, 89315]]
['wnt5a', [89694, 89699]]
['wnt5a', [89986, 89991]]
['wnt5a', [90162, 90167]]
['wnt5a', [90255, 90260]]
['wnt5a', [90508, 90513]]
['wnt5a', [90786, 90791]]
['wnt5a', [90818, 90823]]
['wnt5a', [90922, 90927]]
['wnt5a', [91021, 91026]]
['wnt5a', [91069, 91074]]
['wnt5a', [91185, 91190]]
['wnt5a', [91214, 91219]]
['wnt5a', [91479, 91484]]
['wnt5a', [91567, 91572]]
['wnt5a', [91578, 91583]]
['wnt5a', [91726, 91731]]
['wnt5a', [91743, 91748]]
['wnt5a', [91927, 91932]]
['wnt5a', [91958, 91963]]
['wnt5a', [92068, 92073]]
['wnt5a', [92102, 92107]]
['wnt5a', [92246, 92251]]
['wnt5a', [92285, 92290]]
['wnt5a', [92312, 92317]]
['wnt5a', [92380, 92385]]
['wnt5a', [92423, 92428]]
['wnt5a', [92581, 92586]]
['wnt5a', [92713, 92718]]
['wnt5a', [92760, 92765]]
['wnt5a', [92800, 92805]]
['wnt5a', [92849, 92854]]
['wnt5a', [92871, 92876]]
['wnt5a', [92968, 92973]]
['wnt5a', [93036, 93041]]
['wnt5a', [93120, 93125]]
['wnt5a', [93326, 93331]]
['wnt5a', [93388, 93393]]
['wnt5a', [93456, 93461]]
['wnt5a', [93780, 93785]]
['wnt5a', [93861, 93866]]
['wnt5a', [93923, 93928]]
['wnt5a', [94172, 94177]]
['wnt5a', [94246, 94251]]
['wnt5a', [94285, 94290]]
['wnt5a', [94447, 94452]]
['wnt5a', [94529, 94534]]
['wnt5a', [94764, 94769]]
['wnt5a', [94800, 94805]]
['wnt5a', [94894, 94899]]
['wnt5a', [95177, 95182]]
['wnt5a', [95316, 95321]]
['wnt5a', [95406, 95411]]
['wnt5a', [95484, 95489]]
['wnt5a', [95512, 95517]]
['wnt5a', [95553, 95558]]
['wnt5a', [96154, 96159]]
['wnt5a', [96342, 96347]]
['wnt5a', [96435, 96440]]
['wnt5a', [96688, 96693]]
['wnt5a', [96966, 96971]]
['wnt5a', [96998, 97003]]
['wnt5a', [97102, 97107]]
['wnt5a', [97201, 97206]]
['wnt5a', [97249, 97254]]
['wnt5a', [97365, 97370]]
['wnt5a', [97394, 97399]]
['wnt5a', [97659, 97664]]
['wnt5a', [97747, 97752]]
['wnt5a', [97758, 97763]]
['wnt5a', [97906, 97911]]
['wnt5a', [97923, 97928]]
['wnt5a', [98107, 98112]]
['wnt5a', [98138, 98143]]
['wnt5a', [98248, 98253]]
['wnt5a', [98282, 98287]]
['wnt5a', [98426, 98431]]
['wnt5a', [98465, 98470]]
['wnt5a', [98492, 98497]]
['wnt5a', [98560, 98565]]
['wnt5a', [98603, 98608]]
['wnt5a', [98761, 98766]]
['wnt5a', [98893, 98898]]
['wnt5a', [98940, 98945]]
['wnt5a', [98980, 98985]]
['wnt5a', [99029, 99034]]
['wnt5a', [99051, 99056]]
['wnt5a', [99148, 99153]]
['wnt5a', [99216, 99221]]
['wnt5a', [99300, 99305]]
['wnt5a', [99506, 99511]]
['wnt5a', [99568, 99573]]
['wnt5a', [99636, 99641]]
['wnt5a', [99960, 99965]]
['wnt5a', [100041, 100046]]
['wnt5a', [100103, 100108]]
['wnt5a', [100352, 100357]]
['wnt5a', [100426, 100431]]
['wnt5a', [100465, 100470]]
['wnt5a', [100627, 100632]]
['wnt5a', [100709, 100714]]
['wnt5a', [100944, 100949]]
['wnt5a', [100980, 100985]]
['wnt5a', [101074, 101079]]
['wnt5a', [101357, 101362]]
['wnt5a', [101496, 101501]]
['wnt5a', [101586, 101591]]
['wnt5a', [101664, 101669]]
['wnt5a', [101692, 101697]]
['wnt5a', [101733, 101738]]
['wnt5a', [102334, 102339]]
['tumor-associated', [418, 434]]
['tumor-associated', [3309, 3325]]
['tumor-associated', [3694, 3710]]
['tumor-associated', [75371, 75387]]
['tumor-associated', [80800, 80816]]
['cytotoxic', [467, 476]]
['t', [2, 3]]
['t', [12, 13]]
['t', [30, 31]]
['t', [43, 44]]
['t', [49, 50]]
