['6', [14260, 14261]]
['6', [14297, 14298]]
['6', [14468, 14469]]
['6', [15018, 15019]]
['6', [15807, 15808]]
['6', [15858, 15859]]
['6', [16118, 16119]]
['6', [17206, 17207]]
['6', [17306, 17307]]
['6', [18292, 18293]]
['6', [20762, 20763]]
['6', [21027, 21028]]
['6', [21402, 21403]]
['6', [21497, 21498]]
['6', [21617, 21618]]
['up-regulated', [13639, 13651]]
['immunoglobulin', [13737, 13751]]
['epidermal', [13756, 13765]]
['factor', [6501, 6507]]
['factor', [6587, 6593]]
['factor', [11932, 11938]]
['factor', [12018, 12024]]
['factor', [13773, 13779]]
['factor', [14405, 14411]]
['factor', [14492, 14498]]
['factor', [14529, 14535]]
