['mothers', [16609, 16616]]
['mothers', [18110, 18117]]
['mothers', [18171, 18178]]
['mothers', [18347, 18354]]
['mothers', [18442, 18449]]
['mothers', [19191, 19198]]
['mothers', [19689, 19696]]
['mothers', [20120, 20127]]
['mothers', [20731, 20738]]
['mothers', [20804, 20811]]
['mothers', [21102, 21109]]
['mothers', [21718, 21725]]
['mothers', [23219, 23226]]
['mothers', [23280, 23287]]
['mothers', [23456, 23463]]
['mothers', [23551, 23558]]
['mothers', [24300, 24307]]
['mothers', [24798, 24805]]
['mothers', [25601, 25608]]
['mothers', [26404, 26411]]
['pelvic bones', [378, 390]]
['pelvic bones', [4917, 4929]]
['pelvic bones', [8631, 8643]]
['routine antenatal care', [412, 434]]
['larger', [493, 499]]
['larger', [8277, 8283]]
['larger', [11991, 11997]]
['larger', [14312, 14318]]
['larger', [14769, 14775]]
['intercristal diameter', [500, 521]]
['intercristal diameter', [583, 604]]
['intercristal diameter', [2436, 2457]]
['intercristal diameter', [5566, 5587]]
['intercristal diameter', [9280, 9301]]
['intercristal diameter', [16027, 16048]]
['intercristal diameter', [21136, 21157]]
['higher', [527, 533]]
['higher', [929, 935]]
['higher', [1466, 1472]]
['higher', [3186, 3192]]
['rate', [534, 538]]
['rate', [3784, 3788]]
['rate', [4353, 4357]]
['rate', [16477, 16481]]
['rate', [21586, 21590]]
['breast cancer', [543, 556]]
['breast cancer', [7378, 7391]]
['breast cancer', [8036, 8049]]
['breast cancer', [8161, 8174]]
['breast cancer', [11092, 11105]]
['breast cancer', [11750, 11763]]
['breast cancer', [11875, 11888]]
['breast cancer', [12478, 12491]]
['breast cancer', [12909, 12922]]
['breast cancer', [14071, 14084]]
['breast cancer', [14196, 14209]]
['breast cancer', [14528, 14541]]
['breast cancer', [14653, 14666]]
['breast cancer', [15506, 15519]]
['breast cancer', [15916, 15929]]
['breast cancer', [16352, 16365]]
['breast cancer', [16802, 16815]]
['breast cancer', [20615, 20628]]
['breast cancer', [21025, 21038]]
['breast cancer', [21461, 21474]]
['breast cancer', [21911, 21924]]
['large', [493, 498]]
['large', [577, 582]]
['large', [8277, 8282]]
['large', [11991, 11996]]
['large', [14312, 14317]]
['large', [14769, 14774]]
['large', [16021, 16026]]
['large', [16089, 16094]]
['large', [16266, 16271]]
['large', [16402, 16407]]
['large', [21130, 21135]]
['large', [21198, 21203]]
['large', [21375, 21380]]
['large', [21511, 21516]]
['large', [26962, 26967]]
['marker', [610, 616]]
['high', [527, 531]]
['high', [621, 625]]
['high', [929, 933]]
['high', [1466, 1470]]
['high', [3186, 3190]]
['high', [16840, 16844]]
['high', [21949, 21953]]
['circulating', [626, 637]]
['circulating', [15797, 15808]]
['circulating', [17335, 17346]]
['circulating', [17435, 17446]]
['circulating', [20906, 20917]]
['circulating', [22444, 22455]]
['circulating', [22544, 22555]]
['concentrations', [638, 652]]
['concentrations', [1426, 1440]]
['concentrations', [16863, 16877]]
['concentrations', [21972, 21986]]
['estrogen', [268, 276]]
['estrogen', [656, 664]]
['estrogen', [16196, 16204]]
['estrogen', [16854, 16862]]
['estrogen', [17389, 17397]]
['estrogen', [17447, 17455]]
['estrogen', [21305, 21313]]
['estrogen', [21963, 21971]]
['estrogen', [22498, 22506]]
['estrogen', [22556, 22564]]
['reproductive', [716, 728]]
['life', [729, 733]]
['life', [8014, 8018]]
['life', [11728, 11732]]
['life', [13760, 13764]]
['life', [14048, 14052]]
['life', [17127, 17131]]
['life', [17697, 17701]]
['life', [18585, 18589]]
['life', [22236, 22240]]
['life', [22806, 22810]]
['life', [23694, 23698]]
['genetic', [744, 751]]
['genetic', [16920, 16927]]
['genetic', [17477, 17484]]
['genetic', [17970, 17977]]
['genetic', [22029, 22036]]
['genetic', [22586, 22593]]
['genetic', [23079, 23086]]
['instability', [752, 763]]
['instability', [16928, 16939]]
['instability', [17485, 17496]]
['instability', [22037, 22048]]
['instability', [22594, 22605]]
['breast', [543, 549]]
['breast', [783, 789]]
['breast', [7378, 7384]]
['breast', [8036, 8042]]
['breast', [8161, 8167]]
['breast', [11092, 11098]]
['breast', [11750, 11756]]
['breast', [11875, 11881]]
['breast', [12478, 12484]]
['breast', [12909, 12915]]
['breast', [14071, 14077]]
['breast', [14196, 14202]]
['breast', [14528, 14534]]
['breast', [14653, 14659]]
['breast', [15506, 15512]]
['breast', [15916, 15922]]
['breast', [16352, 16358]]
['breast', [16802, 16808]]
['breast', [16959, 16965]]
['breast', [17090, 17096]]
['breast', [20615, 20621]]
['breast', [21025, 21031]]
['breast', [21461, 21467]]
['breast', [21911, 21917]]
['breast', [22068, 22074]]
['breast', [22199, 22205]]
['cells', [790, 795]]
['cells', [16977, 16982]]
['cells', [17535, 17540]]
['cells', [17826, 17831]]
['cells', [17954, 17959]]
['cells', [22086, 22091]]
['cells', [22644, 22649]]
['cells', [22935, 22940]]
['cells', [23063, 23068]]
['female', [148, 154]]
['female', [799, 805]]
['female', [15945, 15951]]
['female', [21054, 21060]]
['embryos', [806, 813]]
['same', [854, 858]]
['same', [2327, 2331]]
['cohort', [859, 865]]
['cohort', [1702, 1708]]
['cohort', [19363, 19369]]
['cohort', [19594, 19600]]
['cohort', [24472, 24478]]
['cohort', [24703, 24709]]
['cohort', [25275, 25281]]
['cohort', [25506, 25512]]
['cohort', [26078, 26084]]
['cohort', [26309, 26315]]
['hypothesis', [871, 881]]
['hypothesis', [17652, 17662]]
['hypothesis', [22761, 22771]]
['risk', [895, 899]]
['risk', [1280, 1284]]
['risk', [5977, 5981]]
['risk', [9691, 9695]]
['risk', [15052, 15056]]
['risk', [20161, 20165]]
['risk', [27014, 27018]]
['cancer', [65, 71]]
['cancer', [550, 556]]
['cancer', [840, 846]]
['cancer', [908, 914]]
['cancer', [1057, 1063]]
['cancer', [1296, 1302]]
['cancer', [1349, 1355]]
['cancer', [1567, 1573]]
['cancer', [3274, 3280]]
['cancer', [3310, 3316]]
['cancer', [3372, 3378]]
['cancer', [3408, 3414]]
['cancer', [3724, 3730]]
['cancer', [3840, 3846]]
['cancer', [3960, 3966]]
['cancer', [4293, 4299]]
['cancer', [4409, 4415]]
['cancer', [4529, 4535]]
['cancer', [4779, 4785]]
['cancer', [4942, 4948]]
['cancer', [5045, 5051]]
['cancer', [5134, 5140]]
['cancer', [5292, 5298]]
['cancer', [5672, 5678]]
['cancer', [5759, 5765]]
['cancer', [5993, 5999]]
['cancer', [6182, 6188]]
['cancer', [6311, 6317]]
['cancer', [6772, 6778]]
['cancer', [7116, 7122]]
['cancer', [7385, 7391]]
['cancer', [7495, 7501]]
['cancer', [7587, 7593]]
['cancer', [7655, 7661]]
['cancer', [7762, 7768]]
['cancer', [8043, 8049]]
['cancer', [8126, 8132]]
['cancer', [8168, 8174]]
['cancer', [8266, 8272]]
['cancer', [8493, 8499]]
['cancer', [8656, 8662]]
['cancer', [8759, 8765]]
['cancer', [8848, 8854]]
['cancer', [9006, 9012]]
['cancer', [9386, 9392]]
['cancer', [9473, 9479]]
['cancer', [9707, 9713]]
['cancer', [9896, 9902]]
['cancer', [10025, 10031]]
['cancer', [10486, 10492]]
['cancer', [10830, 10836]]
['cancer', [11099, 11105]]
['cancer', [11209, 11215]]
['cancer', [11301, 11307]]
['cancer', [11369, 11375]]
['cancer', [11476, 11482]]
['cancer', [11757, 11763]]
['cancer', [11840, 11846]]
['cancer', [11882, 11888]]
['cancer', [11980, 11986]]
['cancer', [12216, 12222]]
['cancer', [12485, 12491]]
['cancer', [12595, 12601]]
['cancer', [12647, 12653]]
['cancer', [12916, 12922]]
['cancer', [13026, 13032]]
['cancer', [13119, 13125]]
['cancer', [13187, 13193]]
['cancer', [13332, 13338]]
['cancer', [13400, 13406]]
['cancer', [13508, 13514]]
['cancer', [13796, 13802]]
['cancer', [14078, 14084]]
['cancer', [14161, 14167]]
['cancer', [14203, 14209]]
['cancer', [14301, 14307]]
['cancer', [14535, 14541]]
['cancer', [14618, 14624]]
['cancer', [14660, 14666]]
['cancer', [14758, 14764]]
['cancer', [15068, 15074]]
['cancer', [15106, 15112]]
['cancer', [15447, 15453]]
['cancer', [15513, 15519]]
['cancer', [15655, 15661]]
['cancer', [15923, 15929]]
['cancer', [16246, 16252]]
['cancer', [16359, 16365]]
['cancer', [16375, 16381]]
['cancer', [16719, 16725]]
