['patients', [11983, 11991]]
['patients', [12470, 12478]]
['issue', [211, 216]]
['issue', [1947, 1952]]
['issue', [4185, 4190]]
['recurrence', [221, 231]]
['recurrence', [1964, 1974]]
['recurrence', [5632, 5642]]
['recurrence', [13771, 13781]]
['hormone', [236, 243]]
['hormone', [1459, 1466]]
['hormone', [1602, 1609]]
['hormone', [1979, 1986]]
['resistance', [244, 254]]
['prostate cancer', [21, 36]]
['prostate cancer', [258, 273]]
['prostate cancer', [344, 359]]
['prostate cancer', [859, 874]]
['prostate cancer', [995, 1010]]
['prostate cancer', [1158, 1173]]
['prostate cancer', [1248, 1263]]
['prostate cancer', [1526, 1541]]
['prostate cancer', [2081, 2096]]
['prostate cancer', [2300, 2315]]
['prostate cancer', [3216, 3231]]
['prostate cancer', [3365, 3380]]
['prostate cancer', [3483, 3498]]
['prostate cancer', [3809, 3824]]
['prostate cancer', [3907, 3922]]
['prostate cancer', [4062, 4077]]
['prostate cancer', [4237, 4252]]
['prostate cancer', [4698, 4713]]
['prostate cancer', [5006, 5021]]
['prostate cancer', [5112, 5127]]
['prostate cancer', [5590, 5605]]
['prostate cancer', [5991, 6006]]
['prostate cancer', [6353, 6368]]
['prostate cancer', [6431, 6446]]
['prostate cancer', [6704, 6719]]
['prostate cancer', [6796, 6811]]
['prostate cancer', [6903, 6918]]
['prostate cancer', [7435, 7450]]
['prostate cancer', [7672, 7687]]
['prostate cancer', [7798, 7813]]
['prostate cancer', [8186, 8201]]
['prostate cancer', [8322, 8337]]
['prostate cancer', [9266, 9281]]
['prostate cancer', [10055, 10070]]
['prostate cancer', [10194, 10209]]
['prostate cancer', [10818, 10833]]
['prostate cancer', [11202, 11217]]
['prostate cancer', [11638, 11653]]
['prostate cancer', [11967, 11982]]
['prostate cancer', [12096, 12111]]
['prostate cancer', [12192, 12207]]
['prostate cancer', [12454, 12469]]
['prostate cancer', [12531, 12546]]
['prostate cancer', [12602, 12617]]
['prostate cancer', [12796, 12811]]
['prostate cancer', [13017, 13032]]
['prostate cancer', [13498, 13513]]
['prostate cancer', [13755, 13770]]
['prostate cancer', [14132, 14147]]
['prostate cancer', [14371, 14386]]
['prostate cancer', [14652, 14667]]
['prostate cancer', [14769, 14784]]
['prostate cancer', [15254, 15269]]
['prostate cancer', [15715, 15730]]
['prostate cancer', [15816, 15831]]
['prostate cancer', [16209, 16224]]
['prostate cancer', [16758, 16773]]
['prostate cancer', [16939, 16954]]
['survivors', [87, 96]]
['survivors', [274, 283]]
['survivors', [834, 843]]
['survivors', [2015, 2024]]
['survivors', [2386, 2395]]
['survivors', [2407, 2416]]
['survivors', [2562, 2571]]
['survivors', [2933, 2942]]
['survivors', [2988, 2997]]
['survivors', [3317, 3326]]
['survivors', [12887, 12896]]
['survivors', [12986, 12995]]
['survivors', [14148, 14157]]
['survivors', [16037, 16046]]
['major', [294, 299]]
['major', [880, 885]]
['major', [8088, 8093]]
['public health', [300, 313]]
['public health', [886, 899]]
['long', [328, 332]]
['long', [2065, 2069]]
['cancer', [30, 36]]
['cancer', [80, 86]]
['cancer', [267, 273]]
['cancer', [353, 359]]
['cancer', [827, 833]]
['cancer', [868, 874]]
['cancer', [1004, 1010]]
['cancer', [1081, 1087]]
['cancer', [1167, 1173]]
['cancer', [1257, 1263]]
['cancer', [1535, 1541]]
['cancer', [1568, 1574]]
['cancer', [1957, 1963]]
['cancer', [2008, 2014]]
['cancer', [2090, 2096]]
['cancer', [2309, 2315]]
['cancer', [2379, 2385]]
['cancer', [2400, 2406]]
['cancer', [2463, 2469]]
['cancer', [2555, 2561]]
['cancer', [2926, 2932]]
['cancer', [2981, 2987]]
['cancer', [3225, 3231]]
['cancer', [3310, 3316]]
['cancer', [3374, 3380]]
['cancer', [3492, 3498]]
['cancer', [3818, 3824]]
['cancer', [3916, 3922]]
['cancer', [4071, 4077]]
['cancer', [4246, 4252]]
['cancer', [4485, 4491]]
['cancer', [4646, 4652]]
['cancer', [4707, 4713]]
['cancer', [5015, 5021]]
['cancer', [5121, 5127]]
['cancer', [5295, 5301]]
['cancer', [5599, 5605]]
['cancer', [5943, 5949]]
['cancer', [6000, 6006]]
['cancer', [6362, 6368]]
['cancer', [6440, 6446]]
['cancer', [6713, 6719]]
['cancer', [6805, 6811]]
['cancer', [6912, 6918]]
['cancer', [7171, 7177]]
['cancer', [7299, 7305]]
['cancer', [7444, 7450]]
['cancer', [7681, 7687]]
['cancer', [7807, 7813]]
['cancer', [7884, 7890]]
['cancer', [7961, 7967]]
['cancer', [8195, 8201]]
['cancer', [8256, 8262]]
['cancer', [8331, 8337]]
['cancer', [8941, 8947]]
['cancer', [9275, 9281]]
['cancer', [10064, 10070]]
['cancer', [10203, 10209]]
['cancer', [10537, 10543]]
['cancer', [10827, 10833]]
['cancer', [11211, 11217]]
['cancer', [11647, 11653]]
['cancer', [11976, 11982]]
['cancer', [12105, 12111]]
['cancer', [12201, 12207]]
['cancer', [12463, 12469]]
['cancer', [12540, 12546]]
['cancer', [12611, 12617]]
['cancer', [12805, 12811]]
['cancer', [12880, 12886]]
['cancer', [12979, 12985]]
['cancer', [13026, 13032]]
['cancer', [13507, 13513]]
['cancer', [13764, 13770]]
['cancer', [14141, 14147]]
['cancer', [14380, 14386]]
['cancer', [14530, 14536]]
['cancer', [14661, 14667]]
['cancer', [14778, 14784]]
['cancer', [15263, 15269]]
['cancer', [15623, 15629]]
['cancer', [15724, 15730]]
['cancer', [15825, 15831]]
['cancer', [16218, 16224]]
['cancer', [16767, 16773]]
['cancer', [16948, 16954]]
['development', [360, 371]]
['development', [1264, 1275]]
['development', [2316, 2327]]
['development', [5022, 5033]]
