['cell', [57307, 57311]]
['cell', [57396, 57400]]
['cell', [57704, 57708]]
['cell', [57995, 57999]]
['cell', [58072, 58076]]
['cell', [58299, 58303]]
['cell', [58378, 58382]]
['cell', [58444, 58448]]
['cell', [58513, 58517]]
['cell', [58828, 58832]]
['cell', [58873, 58877]]
['cell', [59154, 59158]]
['cell', [59502, 59506]]
['cell', [59921, 59925]]
['cell', [60217, 60221]]
['cell', [60291, 60295]]
['cell', [62324, 62328]]
['cell', [62555, 62559]]
['cell', [62825, 62829]]
['cell', [62969, 62973]]
['cell', [63979, 63983]]
['cell', [65016, 65020]]
['cell', [65201, 65205]]
['cell', [65275, 65279]]
['cell', [67308, 67312]]
['cell', [67540, 67544]]
['cell', [67810, 67814]]
['cell', [67954, 67958]]
['cell', [68964, 68968]]
['cell', [70001, 70005]]
['cell', [70369, 70373]]
['cell', [70409, 70413]]
['cell', [71128, 71132]]
['cell', [71698, 71702]]
['cell', [71757, 71761]]
['cell', [72044, 72048]]
['cell', [72529, 72533]]
['cell', [72728, 72732]]
['cell', [72925, 72929]]
['cell', [73098, 73102]]
['cell', [73210, 73214]]
['cell', [73217, 73221]]
['cell', [74436, 74440]]
['shape', [6289, 6294]]
['shape', [7235, 7240]]
['shape', [7488, 7493]]
['shape', [45922, 45927]]
['shape', [53775, 53780]]
['influenced', [7241, 7251]]
['mrna', [7252, 7256]]
['chromatin', [7695, 7704]]
['chromatin', [17227, 17236]]
['chromatin', [32155, 32164]]
['\xe2\x80\x9cdynamic', [7748, 7758]]
['reciprocity\xe2\x80\x9d', [7759, 7773]]
['endogenously', [7798, 7810]]
['endogenously', [49018, 49030]]
['endogenously', [56872, 56884]]
['made', [7811, 7815]]
['molecules', [5393, 5402]]
['molecules', [7816, 7825]]
['molecules', [11223, 11232]]
['molecules', [23989, 23998]]
['molecules', [24306, 24315]]
['molecules', [26150, 26159]]
['molecules', [38918, 38927]]
['molecules', [39235, 39244]]
['molecules', [49720, 49729]]
['molecules', [57574, 57583]]
['molecules', [63763, 63772]]
['molecules', [68748, 68757]]
['molecules', [73527, 73536]]
['transmembrane', [8074, 8087]]
['heterodimeric', [8088, 8101]]
['glycoproteins', [8102, 8115]]
['integrins', [8187, 8196]]
['integrins', [17805, 17814]]
['integrins', [32733, 32742]]
['integrins', [45474, 45483]]
['integrins', [53327, 53336]]
['ecm-response', [8304, 8316]]
['elements', [8317, 8325]]
['elements', [45457, 45465]]
['elements', [53310, 53318]]
['promoter', [8333, 8341]]
['region', [8342, 8348]]
['region', [74706, 74712]]
['tissue-specific', [8352, 8367]]
['tissue-specific', [22034, 22049]]
['tissue-specific', [36962, 36977]]
['genes', [52, 57]]
['genes', [70, 75]]
['genes', [2813, 2818]]
['genes', [8368, 8373]]
['genes', [8908, 8913]]
['genes', [9677, 9682]]
['genes', [11497, 11502]]
['genes', [13968, 13973]]
['genes', [26424, 26429]]
['genes', [28895, 28900]]
['genes', [41214, 41219]]
['genes', [41658, 41663]]
['genes', [42599, 42604]]
['genes', [44546, 44551]]
['genes', [52399, 52404]]
['genes', [58630, 58635]]
['genes', [58648, 58653]]
['genes', [59984, 59989]]
['genes', [63067, 63072]]
['genes', [63875, 63880]]
['genes', [68052, 68057]]
['genes', [68860, 68865]]
['genes', [70719, 70724]]
['genes', [70857, 70862]]
['tumor', [64, 69]]
['tumor', [3355, 3360]]
['tumor', [9964, 9969]]
['tumor', [15833, 15838]]
['tumor', [30761, 30766]]
['tumor', [40204, 40209]]
['tumor', [40534, 40539]]
['tumor', [40543, 40548]]
['tumor', [40563, 40568]]
['tumor', [40708, 40713]]
['tumor', [40989, 40994]]
['tumor', [41652, 41657]]
['tumor', [42162, 42167]]
['tumor', [42593, 42598]]
['tumor', [42992, 42997]]
