['lps-stimulated', [19055, 19069]]
['lps-stimulated', [19109, 19123]]
['lps-stimulated', [20056, 20070]]
['lps-stimulated', [20153, 20167]]
['lps-stimulated', [21776, 21790]]
['lps-stimulated', [22904, 22918]]
['lps-stimulated', [22958, 22972]]
['lps-stimulated', [24037, 24051]]
['lps-stimulated', [24091, 24105]]
['lps-stimulated', [25039, 25053]]
['lps-stimulated', [25136, 25150]]
['lps-stimulated', [26115, 26129]]
['lps-stimulated', [26212, 26226]]
['lps-stimulated', [27836, 27850]]
['lps-stimulated', [29478, 29492]]
['lps-stimulated', [31441, 31455]]
['lps-stimulated', [32487, 32501]]
['lps-stimulated', [33864, 33878]]
['lps-stimulated', [36561, 36575]]
['lps-stimulated', [37607, 37621]]
['lps-stimulated', [38984, 38998]]
['lps-stimulated', [39906, 39920]]
['lps-stimulated', [39979, 39993]]
['lps-stimulated', [40465, 40479]]
['lps-stimulated', [40538, 40552]]
['lps-stimulated', [40642, 40656]]
['lps-stimulated', [40908, 40922]]
['lps-stimulated', [40981, 40995]]
['lps-stimulated', [41906, 41920]]
['lps-stimulated', [41979, 41993]]
['lps-stimulated', [42465, 42479]]
['lps-stimulated', [42538, 42552]]
['lps-stimulated', [42642, 42656]]
['lps-stimulated', [42908, 42922]]
['lps-stimulated', [42981, 42995]]
['mrna', [687, 691]]
['mrna', [13979, 13983]]
['mrna', [14368, 14372]]
['mrna', [14574, 14578]]
['mrna', [15779, 15783]]
['mrna', [16355, 16359]]
['mrna', [17605, 17609]]
['mrna', [18110, 18114]]
['mrna', [18499, 18503]]
['mrna', [18705, 18709]]
['mrna', [19910, 19914]]
['mrna', [20486, 20490]]
['mrna', [21736, 21740]]
['mrna', [21959, 21963]]
['mrna', [22348, 22352]]
['mrna', [22554, 22558]]
['mrna', [23092, 23096]]
['mrna', [23481, 23485]]
['mrna', [23687, 23691]]
['mrna', [24893, 24897]]
['mrna', [25969, 25973]]
['mrna', [26546, 26550]]
['mrna', [27796, 27800]]
['mrna', [28188, 28192]]
['mrna', [29438, 29442]]
['mrna', [30860, 30864]]
['mrna', [31213, 31217]]
['mrna', [35980, 35984]]
['mrna', [36333, 36337]]
['mrna', [39839, 39843]]
['mrna', [41839, 41843]]
['tnf', [741, 744]]
['tnf', [1698, 1701]]
['tnf', [5565, 5568]]
['tnf', [5654, 5657]]
['tnf', [8110, 8113]]
['tnf', [8244, 8247]]
['tnf', [8326, 8329]]
['tnf', [10302, 10305]]
['tnf', [10391, 10394]]
['tnf', [12851, 12854]]
['tnf', [12985, 12988]]
['tnf', [13067, 13070]]
['tnf', [13767, 13770]]
['tnf', [13957, 13960]]
['tnf', [14387, 14390]]
['tnf', [14593, 14596]]
['tnf', [14709, 14712]]
['tnf', [16187, 16190]]
['tnf', [16374, 16377]]
['tnf', [16522, 16525]]
['tnf', [16590, 16593]]
['tnf', [16810, 16813]]
['tnf', [17731, 17734]]
['tnf', [17898, 17901]]
['tnf', [18088, 18091]]
['tnf', [18518, 18521]]
['tnf', [18724, 18727]]
['tnf', [18840, 18843]]
['tnf', [20318, 20321]]
['tnf', [20505, 20508]]
['tnf', [20653, 20656]]
['tnf', [20721, 20724]]
['tnf', [20941, 20944]]
['tnf', [21862, 21865]]
['tnf', [21937, 21940]]
['tnf', [22367, 22370]]
['tnf', [22573, 22576]]
['tnf', [22689, 22692]]
['tnf', [23070, 23073]]
['tnf', [23500, 23503]]
['tnf', [23706, 23709]]
['tnf', [23822, 23825]]
['tnf', [26378, 26381]]
['tnf', [26565, 26568]]
['tnf', [26713, 26716]]
['tnf', [26781, 26784]]
['tnf', [27001, 27004]]
['tnf', [27922, 27925]]
['tnf', [28020, 28023]]
['tnf', [28207, 28210]]
['tnf', [28355, 28358]]
['tnf', [28423, 28426]]
['tnf', [28643, 28646]]
['tnf', [29564, 29567]]
['tnf', [30646, 30649]]
['tnf', [30914, 30917]]
['tnf', [31267, 31270]]
['tnf', [34116, 34119]]
['tnf', [35766, 35769]]
['tnf', [36034, 36037]]
['tnf', [36387, 36390]]
['tnf', [39236, 39239]]
['tnf', [40053, 40056]]
['tnf', [40811, 40814]]
['tnf', [41053, 41056]]
['tnf', [42053, 42056]]
['tnf', [42811, 42814]]
