['b', [23624, 23625]]
['b', [23667, 23668]]
['b', [23703, 23704]]
['b', [23716, 23717]]
['b', [23743, 23744]]
['b', [23776, 23777]]
['b', [23786, 23787]]
['b', [23801, 23802]]
['b', [23855, 23856]]
['b', [23906, 23907]]
['b', [23916, 23917]]
['b', [23919, 23920]]
['b', [24070, 24071]]
['b', [24215, 24216]]
['b', [24563, 24564]]
['b', [24583, 24584]]
['b', [24653, 24654]]
['b', [24878, 24879]]
['b', [24959, 24960]]
['b', [25119, 25120]]
['b', [25182, 25183]]
['b', [25206, 25207]]
['b', [25209, 25210]]
['b', [25804, 25805]]
['b', [26064, 26065]]
['b', [26106, 26107]]
['b', [26205, 26206]]
['b', [26261, 26262]]
['b', [26482, 26483]]
['b', [26515, 26516]]
['b', [26550, 26551]]
['b', [26694, 26695]]
['b', [26780, 26781]]
['b', [26796, 26797]]
['b', [26926, 26927]]
['b', [26936, 26937]]
['b', [26939, 26940]]
['b', [27063, 27064]]
['b', [27125, 27126]]
['b', [27251, 27252]]
['b', [27273, 27274]]
['b', [27499, 27500]]
['b', [27507, 27508]]
['b', [27654, 27655]]
['b', [27684, 27685]]
['b', [27983, 27984]]
['b', [28060, 28061]]
['b', [28101, 28102]]
['b', [28281, 28282]]
['b', [28295, 28296]]
