['d', [3357, 3358]]
['d', [3368, 3369]]
['d', [3391, 3392]]
['d', [3442, 3443]]
['d', [3449, 3450]]
['d', [3490, 3491]]
['d', [3491, 3492]]
['d', [3511, 3512]]
['d', [3522, 3523]]
['d', [3538, 3539]]
['d', [3549, 3550]]
['d', [3578, 3579]]
['d', [3584, 3585]]
['d', [3651, 3652]]
['d', [3693, 3694]]
['d', [3746, 3747]]
['d', [3771, 3772]]
['d', [3789, 3790]]
['d', [3795, 3796]]
['d', [3850, 3851]]
['d', [3889, 3890]]
['d', [3922, 3923]]
['d', [3936, 3937]]
['d', [4002, 4003]]
['d', [4052, 4053]]
['d', [4083, 4084]]
['d', [4163, 4164]]
['d', [4217, 4218]]
['d', [4247, 4248]]
['d', [4316, 4317]]
['d', [4363, 4364]]
['d', [4390, 4391]]
['d', [4498, 4499]]
['d', [4523, 4524]]
['d', [4524, 4525]]
['d', [4575, 4576]]
['d', [4591, 4592]]
['d', [4593, 4594]]
['d', [4665, 4666]]
['d', [4711, 4712]]
['d', [4815, 4816]]
['d', [4888, 4889]]
['d', [4897, 4898]]
['d', [4939, 4940]]
['d', [4951, 4952]]
['d', [4969, 4970]]
['d', [5042, 5043]]
['d', [5115, 5116]]
['d', [5117, 5118]]
['d', [5142, 5143]]
['d', [5196, 5197]]
['d', [5236, 5237]]
['d', [5284, 5285]]
['d', [5312, 5313]]
['d', [5356, 5357]]
['d', [5377, 5378]]
['d', [5390, 5391]]
['d', [5433, 5434]]
['d', [5435, 5436]]
['d', [5470, 5471]]
['d', [5510, 5511]]
['d', [5541, 5542]]
['d', [5747, 5748]]
['d', [5768, 5769]]
['d', [5823, 5824]]
['d', [5899, 5900]]
['d', [5959, 5960]]
['d', [5974, 5975]]
['d', [5977, 5978]]
['d', [6010, 6011]]
['d', [6093, 6094]]
['d', [6109, 6110]]
['d', [6140, 6141]]
['d', [6212, 6213]]
['d', [6222, 6223]]
['d', [6280, 6281]]
['d', [6292, 6293]]
['d', [6296, 6297]]
['d', [6309, 6310]]
['d', [6333, 6334]]
['d', [6363, 6364]]
['d', [6384, 6385]]
['d', [6423, 6424]]
['d', [6451, 6452]]
['d', [6495, 6496]]
['d', [6527, 6528]]
['d', [6556, 6557]]
['d', [6560, 6561]]
['d', [6580, 6581]]
['d', [6597, 6598]]
['d', [6650, 6651]]
['d', [6691, 6692]]
['d', [6701, 6702]]
['d', [6720, 6721]]
['d', [6747, 6748]]
['d', [6776, 6777]]
['d', [6829, 6830]]
['d', [6865, 6866]]
['d', [6914, 6915]]
['d', [6929, 6930]]
['d', [6938, 6939]]
['d', [6945, 6946]]
['d', [7029, 7030]]
['d', [7034, 7035]]
['d', [7042, 7043]]
['d', [7080, 7081]]
['d', [7102, 7103]]
['d', [7182, 7183]]
['d', [7186, 7187]]
['d', [7199, 7200]]
['d', [7306, 7307]]
['d', [7327, 7328]]
