['tumor', [67425, 67430]]
['tumor', [67505, 67510]]
['tumor', [68856, 68861]]
['tumor', [68947, 68952]]
['tumor', [69540, 69545]]
['tumor', [70703, 70708]]
['tumor', [70766, 70771]]
['tumor', [70931, 70936]]
['tumor', [76550, 76555]]
['tumor', [77277, 77282]]
['tumor', [82682, 82687]]
['tumor', [83409, 83414]]
['cells', [1100, 1105]]
['cells', [1256, 1261]]
['cells', [2056, 2061]]
['cells', [4145, 4150]]
['cells', [7054, 7059]]
['cells', [7388, 7393]]
['cells', [7409, 7414]]
['cells', [7431, 7436]]
['cells', [7591, 7596]]
['cells', [7983, 7988]]
['cells', [11845, 11850]]
['cells', [12239, 12244]]
['cells', [12297, 12302]]
['cells', [12329, 12334]]
['cells', [12521, 12526]]
['cells', [12783, 12788]]
['cells', [13170, 13175]]
['cells', [13363, 13368]]
['cells', [13391, 13396]]
['cells', [14736, 14741]]
['cells', [14792, 14797]]
['cells', [15599, 15604]]
['cells', [16335, 16340]]
['cells', [16357, 16362]]
['cells', [16636, 16641]]
['cells', [16803, 16808]]
['cells', [16879, 16884]]
['cells', [16949, 16954]]
['cells', [19103, 19108]]
['cells', [21193, 21198]]
['cells', [24103, 24108]]
['cells', [24437, 24442]]
['cells', [24458, 24463]]
['cells', [24480, 24485]]
['cells', [24640, 24645]]
['cells', [25033, 25038]]
['cells', [28897, 28902]]
['cells', [29291, 29296]]
['cells', [29349, 29354]]
['cells', [29381, 29386]]
['cells', [29574, 29579]]
['cells', [29836, 29841]]
['cells', [30224, 30229]]
['cells', [30417, 30422]]
['cells', [30445, 30450]]
['cells', [31791, 31796]]
['cells', [31847, 31852]]
['cells', [32654, 32659]]
['cells', [33391, 33396]]
['cells', [33413, 33418]]
['cells', [33692, 33697]]
['cells', [33859, 33864]]
['cells', [33935, 33940]]
['cells', [34005, 34010]]
['cells', [39780, 39785]]
['cells', [40063, 40068]]
['cells', [40196, 40201]]
['cells', [41531, 41536]]
['cells', [45825, 45830]]
['cells', [46108, 46113]]
['cells', [46241, 46246]]
['cells', [47576, 47581]]
['cells', [53439, 53444]]
['cells', [53722, 53727]]
['cells', [53855, 53860]]
['cells', [56387, 56392]]
['cells', [56670, 56675]]
['cells', [56803, 56808]]
['cells', [58139, 58144]]
['cells', [59654, 59659]]
['cells', [61288, 61293]]
['cells', [63866, 63871]]
['cells', [64855, 64860]]
['cells', [65029, 65034]]
['cells', [66968, 66973]]
['cells', [69546, 69551]]
['cells', [70535, 70540]]
