['1', [13023, 13024]]
['1', [13314, 13315]]
['1', [14273, 14274]]
['1', [14795, 14796]]
['1', [15098, 15099]]
['1', [15117, 15118]]
['1', [15490, 15491]]
['1', [17229, 17230]]
['1', [17365, 17366]]
['1', [17377, 17378]]
['1', [17650, 17651]]
['1', [18275, 18276]]
['1', [18328, 18329]]
['1', [18417, 18418]]
['1', [18426, 18427]]
['1', [18549, 18550]]
['1', [18681, 18682]]
['1', [19344, 19345]]
['1', [19917, 19918]]
['1', [20331, 20332]]
['1', [20493, 20494]]
['1', [20530, 20531]]
['1', [21227, 21228]]
['1', [21548, 21549]]
['1', [21601, 21602]]
['1', [21690, 21691]]
['1', [21699, 21700]]
['1', [21822, 21823]]
['1', [21954, 21955]]
['1', [22617, 22618]]
['1', [23190, 23191]]
