['4', [45222, 45223]]
['4', [45230, 45231]]
['4', [45233, 45234]]
['4', [45311, 45312]]
['4', [45322, 45323]]
['4', [45351, 45352]]
['4', [45360, 45361]]
['4', [45379, 45380]]
['4', [45399, 45400]]
['4', [45400, 45401]]
['4', [45419, 45420]]
['4', [45423, 45424]]
['4', [45448, 45449]]
['4', [45452, 45453]]
['4', [45766, 45767]]
['4', [46128, 46129]]
['4', [46130, 46131]]
['4', [46156, 46157]]
['4', [46168, 46169]]
['4', [46195, 46196]]
['4', [46223, 46224]]
['4', [46224, 46225]]
['4', [46246, 46247]]
['4', [46261, 46262]]
['4', [46266, 46267]]
['4', [46299, 46300]]
['4', [46346, 46347]]
['4', [46377, 46378]]
['4', [46401, 46402]]
['4', [46405, 46406]]
['4', [46415, 46416]]
['4', [46437, 46438]]
['4', [46449, 46450]]
['4', [46453, 46454]]
['4', [46463, 46464]]
['4', [46464, 46465]]
['4', [46469, 46470]]
