['zeb1', [52537, 52541]]
['zeb1', [52620, 52624]]
['zeb1', [52667, 52671]]
['zeb1', [52744, 52748]]
['zeb1', [55959, 55963]]
['zeb1', [59445, 59449]]
['zeb1', [59531, 59535]]
['zeb1', [59705, 59709]]
['zeb1', [59829, 59833]]
['zeb1', [59912, 59916]]
['zeb1', [59959, 59963]]
['zeb1', [60036, 60040]]
['zeb1', [63251, 63255]]
['zeb1', [64505, 64509]]
['zeb1', [64971, 64975]]
['zeb1', [65396, 65400]]
['zeb1', [67247, 67251]]
['zeb1', [67713, 67717]]
['zeb1', [68138, 68142]]
['mirna', [568, 573]]
['mirna', [769, 774]]
['mirna', [992, 997]]
['mirna', [1764, 1769]]
['mirna', [4723, 4728]]
['mirna', [5104, 5109]]
['mirna', [5363, 5368]]
['mirna', [5536, 5541]]
['mirna', [5651, 5656]]
['mirna', [5719, 5724]]
['mirna', [5829, 5834]]
['mirna', [5989, 5994]]
['mirna', [6060, 6065]]
['mirna', [6897, 6902]]
['mirna', [7234, 7239]]
['mirna', [7303, 7308]]
