['1', [8384, 8385]]
['1', [8391, 8392]]
['1', [8752, 8753]]
['1', [8757, 8758]]
['1', [8762, 8763]]
['1', [8801, 8802]]
['1', [9333, 9334]]
['1', [9684, 9685]]
['1', [12275, 12276]]
['1', [14004, 14005]]
['1', [14341, 14342]]
['1', [14468, 14469]]
['1', [14493, 14494]]
['1', [15194, 15195]]
['1', [15219, 15220]]
['1', [15352, 15353]]
['1', [17272, 17273]]
['1', [17322, 17323]]
['1', [18345, 18346]]
['1', [18695, 18696]]
['1', [18696, 18697]]
['1', [18960, 18961]]
['1', [19624, 19625]]
['1', [19631, 19632]]
['1', [19992, 19993]]
['1', [19997, 19998]]
['1', [20002, 20003]]
['1', [20041, 20042]]
['1', [20573, 20574]]
['1', [20924, 20925]]
['1', [23515, 23516]]
['1', [27245, 27246]]
['1', [28975, 28976]]
['1', [29312, 29313]]
['1', [29439, 29440]]
['1', [29464, 29465]]
['1', [30165, 30166]]
['1', [30190, 30191]]
['1', [30323, 30324]]
['1', [32044, 32045]]
['1', [32111, 32112]]
['1', [32769, 32770]]
['1', [33924, 33925]]
['1', [34123, 34124]]
['1', [34160, 34161]]
['1', [34591, 34592]]
['1', [36109, 36110]]
['1', [41905, 41906]]
['1', [43060, 43061]]
['1', [43259, 43260]]
['1', [43296, 43297]]
['1', [43727, 43728]]
['1', [45245, 45246]]
['1', [54153, 54154]]
['1', [54839, 54840]]
['1', [55063, 55064]]
['1', [55149, 55150]]
['1', [55214, 55215]]
['1', [55484, 55485]]
['1', [55795, 55796]]
['1', [55858, 55859]]
['1', [55977, 55978]]
['1', [56217, 56218]]
['1', [56230, 56231]]
['1', [56344, 56345]]
['1', [56381, 56382]]
['1', [56518, 56519]]
['1', [56615, 56616]]
['1', [56625, 56626]]
['1', [56666, 56667]]
['1', [57751, 57752]]
['1', [57799, 57800]]
['1', [57896, 57897]]
['1', [58211, 58212]]
['1', [58328, 58329]]
['2', [2103, 2104]]
['2', [2407, 2408]]
['2', [3483, 3484]]
['2', [5391, 5392]]
['2', [6082, 6083]]
['2', [6086, 6087]]
['2', [6087, 6088]]
['2', [7721, 7722]]
['2', [8385, 8386]]
['2', [8984, 8985]]
['2', [9332, 9333]]
['2', [9689, 9690]]
['2', [9690, 9691]]
['2', [9782, 9783]]
['2', [10281, 10282]]
['2', [10667, 10668]]
['2', [11205, 11206]]
['2', [11210, 11211]]
['2', [11234, 11235]]
['2', [11824, 11825]]
['2', [11829, 11830]]
['2', [15293, 15294]]
['2', [15353, 15354]]
['2', [16630, 16631]]
['2', [17321, 17322]]
['2', [17325, 17326]]
['2', [17326, 17327]]
['2', [18961, 18962]]
['2', [19625, 19626]]
['2', [20224, 20225]]
['2', [20572, 20573]]
['2', [20929, 20930]]
['2', [20930, 20931]]
['2', [21022, 21023]]
['2', [21521, 21522]]
['2', [21907, 21908]]
['2', [22445, 22446]]
['2', [22450, 22451]]
['2', [22474, 22475]]
['2', [23064, 23065]]
['2', [23069, 23070]]
['2', [25251, 25252]]
['2', [25637, 25638]]
['2', [26175, 26176]]
['2', [26180, 26181]]
['2', [26204, 26205]]
['2', [26794, 26795]]
['2', [26799, 26800]]
['2', [30264, 30265]]
['2', [30324, 30325]]
['2', [31494, 31495]]
['2', [32098, 32099]]
['2', [32123, 32124]]
['2', [32781, 32782]]
['2', [33983, 33984]]
['2', [33996, 33997]]
['2', [34128, 34129]]
['2', [34321, 34322]]
