['of', [16104, 16106]]
['of', [16275, 16277]]
['of', [16369, 16371]]
['of', [16782, 16784]]
['of', [16955, 16957]]
['of', [17010, 17012]]
['of', [17105, 17107]]
['of', [17205, 17207]]
['of', [17377, 17379]]
['of', [17601, 17603]]
['of', [17669, 17671]]
['of', [17879, 17881]]
['of', [18014, 18016]]
['of', [18110, 18112]]
['of', [18207, 18209]]
['of', [18289, 18291]]
['of', [18341, 18343]]
['of', [18418, 18420]]
['of', [18527, 18529]]
['of', [18577, 18579]]
['of', [18618, 18620]]
['of', [18660, 18662]]
['of', [18854, 18856]]
['of', [18882, 18884]]
['of', [19083, 19085]]
['of', [19207, 19209]]
['of', [19385, 19387]]
['of', [19432, 19434]]
['of', [19505, 19507]]
['of', [19618, 19620]]
['of', [19790, 19792]]
['of', [19950, 19952]]
['of', [20258, 20260]]
['of', [20283, 20285]]
['of', [20454, 20456]]
['of', [20548, 20550]]
['of', [20961, 20963]]
['of', [21134, 21136]]
['of', [21189, 21191]]
['of', [21284, 21286]]
['of', [21384, 21386]]
['of', [21556, 21558]]
['of', [21780, 21782]]
['of', [21848, 21850]]
['of', [22058, 22060]]
['of', [22193, 22195]]
['of', [22289, 22291]]
['of', [22386, 22388]]
['of', [22468, 22470]]
['of', [22520, 22522]]
['of', [22597, 22599]]
['of', [22706, 22708]]
['of', [22756, 22758]]
['of', [22797, 22799]]
['of', [22839, 22841]]
['of', [23033, 23035]]
['of', [23061, 23063]]
['of', [23262, 23264]]
['of', [23521, 23523]]
['of', [23617, 23619]]
['of', [23969, 23971]]
['of', [24242, 24244]]
['of', [24493, 24495]]
['of', [24542, 24544]]
['of', [24618, 24620]]
['of', [24835, 24837]]
['of', [24887, 24889]]
['of', [25704, 25706]]
['of', [25727, 25729]]
['of', [25793, 25795]]
['of', [25876, 25878]]
['of', [26822, 26824]]
['of', [26856, 26858]]
['of', [26929, 26931]]
['of', [27165, 27167]]
['of', [27333, 27335]]
['of', [27409, 27411]]
['of', [27436, 27438]]
