['pc-3', [36080, 36084]]
['pc-3', [37342, 37346]]
['pc-3', [41430, 41434]]
['pc-3', [46483, 46487]]
['pc-3', [46777, 46781]]
['pc-3', [48039, 48043]]
['pc-3', [48271, 48275]]
['pc-3', [48565, 48569]]
['pc-3', [49827, 49831]]
['pc-3', [57449, 57453]]
['pc-3', [59360, 59364]]
['pc-3', [69286, 69290]]
['pc-3', [69713, 69717]]
['pc-3', [74028, 74032]]
['pc-3', [74455, 74459]]
['pc-3', [77382, 77386]]
['pc-3', [78088, 78092]]
['pc-3', [80965, 80969]]
['pc-3', [84500, 84504]]
['pc-3', [85206, 85210]]
['pc-3', [88083, 88087]]
['rhoa', [1425, 1429]]
['rhoa', [3396, 3400]]
['rhoa', [5200, 5204]]
['rhoa', [33315, 33319]]
['rhoa', [33575, 33579]]
['rhoa', [33879, 33883]]
['rhoa', [44020, 44024]]
['rhoa', [44280, 44284]]
['rhoa', [44584, 44588]]
['rhoa', [61951, 61955]]
['rhoa', [62211, 62215]]
['rhoa', [62515, 62519]]
['rhoa', [63747, 63751]]
['rhoa', [64007, 64011]]
['rhoa', [64311, 64315]]
['rhoa', [70312, 70316]]
['rhoa', [70685, 70689]]
['rhoa', [71142, 71146]]
['rhoa', [75054, 75058]]
['rhoa', [75427, 75431]]
['rhoa', [75884, 75888]]
['rhoa', [82735, 82739]]
['rhoa', [83047, 83051]]
['rhoa', [83157, 83161]]
['rhoa', [89853, 89857]]
['rhoa', [90165, 90169]]
['rhoa', [90275, 90279]]
['rac1', [1434, 1438]]
['rac1', [3402, 3406]]
['rac1', [5191, 5195]]
['rac1', [12847, 12851]]
['rac1', [13040, 13044]]
['rac1', [13141, 13145]]
['rac1', [22670, 22674]]
['rac1', [22863, 22867]]
['rac1', [22964, 22968]]
['rac1', [33321, 33325]]
['rac1', [33888, 33892]]
['rac1', [44026, 44030]]
['rac1', [44593, 44597]]
['rac1', [61957, 61961]]
['rac1', [62524, 62528]]
['rac1', [63753, 63757]]
['rac1', [64320, 64324]]
['rac1', [70318, 70322]]
['rac1', [70676, 70680]]
['rac1', [70774, 70778]]
