['4', [46723, 46724]]
['4', [46765, 46766]]
['4', [46818, 46819]]
['4', [47013, 47014]]
['4', [47154, 47155]]
['4', [47284, 47285]]
['4', [47414, 47415]]
['4', [47688, 47689]]
['4', [47940, 47941]]
['4', [47986, 47987]]
['4', [48005, 48006]]
['4', [48036, 48037]]
['4', [48078, 48079]]
['4', [48129, 48130]]
['4', [48181, 48182]]
['4', [48182, 48183]]
['4', [48238, 48239]]
['4', [48291, 48292]]
['4', [48346, 48347]]
['4', [48402, 48403]]
['4', [48509, 48510]]
['4', [48686, 48687]]
['4', [48754, 48755]]
['4', [48864, 48865]]
['4', [48951, 48952]]
['4', [49027, 49028]]
['4', [49297, 49298]]
['4', [49380, 49381]]
['4', [49385, 49386]]
['4', [49396, 49397]]
['4', [49426, 49427]]
['4', [49434, 49435]]
['4', [49703, 49704]]
['4', [49708, 49709]]
['4', [49730, 49731]]
['4', [49791, 49792]]
['4', [49813, 49814]]
['4', [49842, 49843]]
['4', [49845, 49846]]
['4', [49864, 49865]]
['4', [49927, 49928]]
['mri', [4491, 4494]]
['mri', [9104, 9107]]
['mri', [9351, 9354]]
['mri', [10926, 10929]]
['mri', [11386, 11389]]
['mri', [14343, 14346]]
['mri', [14590, 14593]]
['mri', [16167, 16170]]
['mri', [16628, 16631]]
['mri', [27691, 27694]]
['mri', [29023, 29026]]
['mri', [31589, 31592]]
['mri', [31644, 31647]]
['mri', [36933, 36936]]
['mri', [38265, 38268]]
['mri', [40831, 40834]]
['mri', [40886, 40889]]
['\\/\\/rsb\\.info\\.nih\\.gov\\/ij', [10973, 11000]]
['\\/\\/rsb\\.info\\.nih\\.gov\\/ij', [16214, 16241]]
['flair', [11380, 11385]]
['flair', [16622, 16627]]
['scans', [11673, 11678]]
['scans', [16915, 16920]]
['ttp', [10969, 10972]]
['ttp', [11733, 11736]]
['ttp', [11823, 11826]]
['ttp', [12543, 12546]]
['ttp', [16210, 16213]]
['ttp', [16975, 16978]]
['ttp', [17065, 17068]]
['ttp', [17786, 17789]]
['ttp', [35945, 35948]]
['ttp', [45187, 45190]]
['non-overlapping', [12724, 12739]]
['non-overlapping', [17967, 17982]]
['regions', [564, 571]]
['regions', [6173, 6180]]
['regions', [12740, 12747]]
['regions', [17983, 17990]]
['regions', [30986, 30993]]
['regions', [31157, 31164]]
['regions', [40228, 40235]]
['regions', [40399, 40406]]
['regions', [46030, 46037]]
['table', [12777, 12782]]
['table', [13321, 13326]]
['table', [18020, 18025]]
['table', [18565, 18570]]
['table', [19394, 19399]]
['table', [20557, 20562]]
['table', [20942, 20947]]
['table', [21841, 21846]]
['table', [22623, 22628]]
['table', [23194, 23199]]
['table', [24357, 24362]]
['table', [24742, 24747]]
['table', [25641, 25646]]
['table', [26423, 26428]]
['table', [46015, 46020]]
['table', [46022, 46027]]
['table', [47855, 47860]]
['table', [48517, 48522]]
['table', [48945, 48950]]
['table', [49479, 49484]]
['roi\xe2\x80\x99s', [12824, 12831]]
['roi\xe2\x80\x99s', [12836, 12843]]
['roi\xe2\x80\x99s', [13245, 13252]]
['roi\xe2\x80\x99s', [18068, 18075]]
