['population', [57255, 57265]]
['population', [59362, 59372]]
['population', [60439, 60449]]
['population', [60969, 60979]]
['population', [63076, 63086]]
['population', [64352, 64362]]
['population', [68549, 68559]]
['obs', [329, 332]]
['obs', [626, 629]]
['obs', [2090, 2093]]
['obs', [2131, 2134]]
['obs', [2216, 2219]]
['obs', [2712, 2715]]
['obs', [5234, 5237]]
['obs', [5290, 5293]]
['obs', [5383, 5386]]
['obs', [5405, 5408]]
['obs', [5475, 5478]]
['obs', [6938, 6941]]
['obs', [7022, 7025]]
['obs', [7781, 7784]]
['obs', [9865, 9868]]
['obs', [11800, 11803]]
['obs', [12627, 12630]]
['obs', [17255, 17258]]
['obs', [21217, 21220]]
['obs', [21289, 21292]]
['obs', [22067, 22070]]
['obs', [25538, 25541]]
['obs', [25583, 25586]]
['obs', [25732, 25735]]
['obs', [26401, 26404]]
['obs', [26414, 26417]]
['obs', [27240, 27243]]
['obs', [27285, 27288]]
['obs', [27434, 27437]]
['obs', [28103, 28106]]
['obs', [28116, 28119]]
['obs', [32217, 32220]]
['obs', [36811, 36814]]
['obs', [37242, 37245]]
['obs', [37353, 37356]]
['obs', [37470, 37473]]
['obs', [37535, 37538]]
['obs', [38230, 38233]]
['obs', [38621, 38624]]
['obs', [38783, 38786]]
['obs', [38958, 38961]]
['obs', [43316, 43319]]
['obs', [43747, 43750]]
['obs', [43858, 43861]]
['obs', [43975, 43978]]
['obs', [44040, 44043]]
