['a', [3877, 3878]]
['a', [3908, 3909]]
['a', [3920, 3921]]
['a', [3936, 3937]]
['a', [3942, 3943]]
['a', [3956, 3957]]
['a', [3962, 3963]]
['a', [3970, 3971]]
['a', [3979, 3980]]
['a', [3989, 3990]]
['a', [3999, 4000]]
['a', [4003, 4004]]
['a', [4009, 4010]]
['a', [4022, 4023]]
['a', [4026, 4027]]
['a', [4041, 4042]]
['a', [4054, 4055]]
['a', [4060, 4061]]
['a', [4087, 4088]]
['a', [4092, 4093]]
['a', [4100, 4101]]
['a', [4109, 4110]]
['a', [4119, 4120]]
['a', [4129, 4130]]
['a', [4133, 4134]]
['a', [4149, 4150]]
['a', [4153, 4154]]
['a', [4159, 4160]]
['a', [4228, 4229]]
['a', [4235, 4236]]
['a', [4239, 4240]]
['a', [4243, 4244]]
['a', [4270, 4271]]
['a', [4301, 4302]]
['a', [4328, 4329]]
['a', [4336, 4337]]
['a', [4339, 4340]]
['a', [4365, 4366]]
['a', [4386, 4387]]
['a', [4390, 4391]]
['a', [4414, 4415]]
['a', [4433, 4434]]
['a', [4459, 4460]]
['a', [4462, 4463]]
['a', [4467, 4468]]
['a', [4479, 4480]]
['a', [4523, 4524]]
['a', [4538, 4539]]
['a', [4563, 4564]]
['a', [4571, 4572]]
['a', [4583, 4584]]
['a', [4606, 4607]]
['a', [4610, 4611]]
['a', [4616, 4617]]
['a', [4622, 4623]]
['a', [4632, 4633]]
['a', [4646, 4647]]
['a', [4650, 4651]]
['a', [4657, 4658]]
['a', [4663, 4664]]
['a', [4675, 4676]]
['a', [4677, 4678]]
['a', [4682, 4683]]
['a', [4713, 4714]]
['a', [4725, 4726]]
['a', [4769, 4770]]
['a', [4779, 4780]]
['a', [4781, 4782]]
['a', [4790, 4791]]
['a', [4806, 4807]]
['a', [4814, 4815]]
['a', [4817, 4818]]
['a', [4822, 4823]]
['a', [4837, 4838]]
['a', [4855, 4856]]
['a', [4874, 4875]]
['a', [4895, 4896]]
['a', [4912, 4913]]
['a', [4915, 4916]]
['a', [4935, 4936]]
['a', [4941, 4942]]
['a', [4948, 4949]]
['a', [4953, 4954]]
['a', [4959, 4960]]
['a', [4997, 4998]]
['a', [5006, 5007]]
['a', [5013, 5014]]
['a', [5059, 5060]]
['a', [5068, 5069]]
['a', [5070, 5071]]
['a', [5090, 5091]]
['a', [5100, 5101]]
['a', [5109, 5110]]
['a', [5116, 5117]]
['a', [5139, 5140]]
['a', [5156, 5157]]
['a', [5165, 5166]]
['a', [5186, 5187]]
['a', [5218, 5219]]
['a', [5235, 5236]]
['a', [5262, 5263]]
['a', [5264, 5265]]
['a', [5268, 5269]]
['a', [5272, 5273]]
['a', [5277, 5278]]
['a', [5319, 5320]]
['a', [5328, 5329]]
['a', [5337, 5338]]
['a', [5349, 5350]]
['a', [5363, 5364]]
['a', [5366, 5367]]
['a', [5371, 5372]]
['a', [5382, 5383]]
['a', [5386, 5387]]
['a', [5390, 5391]]
['a', [5403, 5404]]
['a', [5409, 5410]]
['a', [5428, 5429]]
['a', [5434, 5435]]
['a', [5463, 5464]]
['a', [5467, 5468]]
['a', [5474, 5475]]
['a', [5505, 5506]]
['a', [5513, 5514]]
['a', [5521, 5522]]
['a', [5533, 5534]]
['a', [5537, 5538]]
['a', [5557, 5558]]
['a', [5559, 5560]]
['a', [5563, 5564]]
['a', [5573, 5574]]
