['1', [37165, 37166]]
['1', [37883, 37884]]
['1', [37888, 37889]]
['1', [38144, 38145]]
['1', [38156, 38157]]
['1', [38158, 38159]]
['1', [38164, 38165]]
['1', [39083, 39084]]
['1', [39111, 39112]]
['1', [39197, 39198]]
['1', [40468, 40469]]
['1', [40476, 40477]]
['1', [40564, 40565]]
['1', [40726, 40727]]
['1', [40837, 40838]]
['1', [42604, 42605]]
['1', [42771, 42772]]
['1', [42776, 42777]]
['1', [43756, 43757]]
['1', [44214, 44215]]
['1', [44459, 44460]]
['1', [44509, 44510]]
['1', [45227, 45228]]
['1', [45232, 45233]]
['1', [45488, 45489]]
['1', [45500, 45501]]
['1', [45502, 45503]]
['1', [45508, 45509]]
['1', [46427, 46428]]
['1', [46455, 46456]]
['1', [46541, 46542]]
['1', [47812, 47813]]
['1', [47820, 47821]]
['1', [47908, 47909]]
['1', [48070, 48071]]
['1', [48181, 48182]]
['1', [49948, 49949]]
['1', [50115, 50116]]
['1', [50120, 50121]]
['1', [50845, 50846]]
['1', [51026, 51027]]
['1', [51045, 51046]]
['1', [51097, 51098]]
['1', [51152, 51153]]
['1', [51160, 51161]]
['1', [51194, 51195]]
['1', [51242, 51243]]
['1', [51347, 51348]]
['1', [51368, 51369]]
['1', [51379, 51380]]
['1', [51382, 51383]]
['1', [51461, 51462]]
['1', [51548, 51549]]
['1', [51553, 51554]]
['1', [51571, 51572]]
['1', [51574, 51575]]
['1', [51579, 51580]]
['1', [51583, 51584]]
['1', [51588, 51589]]
['1', [51602, 51603]]
['1', [51616, 51617]]
['1', [51621, 51622]]
['1', [51622, 51623]]
['1', [51963, 51964]]
['1', [51997, 51998]]
['1', [52208, 52209]]
['1', [52265, 52266]]
['1', [52468, 52469]]
['1', [52484, 52485]]
['1', [52508, 52509]]
['1', [52561, 52562]]
['1', [52574, 52575]]
['1', [52584, 52585]]
['1', [52622, 52623]]
['1', [52628, 52629]]
['1', [52646, 52647]]
['1', [52660, 52661]]
['1', [52706, 52707]]
['1', [52721, 52722]]
['1', [52723, 52724]]
['1', [52760, 52761]]
['1', [52786, 52787]]
['1', [52813, 52814]]
['1', [52840, 52841]]
['1', [52944, 52945]]
['1', [53134, 53135]]
['1', [53284, 53285]]
['1', [53627, 53628]]
['1', [53636, 53637]]
['1', [53638, 53639]]
['1', [53646, 53647]]
['1', [53651, 53652]]
['1', [53684, 53685]]
['1', [53689, 53690]]
['1', [53694, 53695]]
['1', [53698, 53699]]
['1', [53755, 53756]]
['1', [53760, 53761]]
['1', [53762, 53763]]
['1', [53764, 53765]]
['1', [53838, 53839]]
['1', [53840, 53841]]
['1', [53849, 53850]]
['1', [53869, 53870]]
['1', [53888, 53889]]
['1', [53890, 53891]]
['1', [53899, 53900]]
['1', [53927, 53928]]
['1', [53976, 53977]]
['1', [53982, 53983]]
['1', [54035, 54036]]
['1', [54040, 54041]]
['1', [54049, 54050]]
['1', [54091, 54092]]
['1', [54093, 54094]]
['1', [54102, 54103]]
['1', [54249, 54250]]
['1', [54540, 54541]]
['1', [54597, 54598]]
['1', [54761, 54762]]
['1', [54764, 54765]]
['1', [54783, 54784]]
['1', [54801, 54802]]
['1', [54810, 54811]]
['1', [54829, 54830]]
['1', [54855, 54856]]
['1', [54874, 54875]]
['1', [54884, 54885]]
['1', [54913, 54914]]
['1', [54916, 54917]]
['1', [54935, 54936]]
['1', [54953, 54954]]
['1', [54955, 54956]]
['1', [54962, 54963]]
['1', [54981, 54982]]
['1', [54991, 54992]]
['1', [54992, 54993]]
['1', [55008, 55009]]
['1', [55028, 55029]]
['1', [55066, 55067]]
['1', [55069, 55070]]
['1', [55088, 55089]]
['1', [55123, 55124]]
['1', [55142, 55143]]
['1', [55148, 55149]]
['1', [55150, 55151]]
['1', [55152, 55153]]
['1', [55170, 55171]]
['1', [55178, 55179]]
['1', [55189, 55190]]
['1', [55212, 55213]]
['1', [55215, 55216]]
['1', [55223, 55224]]
['1', [55235, 55236]]
['1', [55330, 55331]]
['1', [55505, 55506]]
['1', [55627, 55628]]
['1', [55682, 55683]]
