['1', [73899, 73900]]
['1', [73942, 73943]]
['1', [73957, 73958]]
['1', [73978, 73979]]
['1', [73993, 73994]]
['1', [74002, 74003]]
['1', [74003, 74004]]
['1', [74030, 74031]]
['1', [74065, 74066]]
['1', [74306, 74307]]
['1', [74353, 74354]]
['1', [74370, 74371]]
['1', [74436, 74437]]
['1', [74451, 74452]]
['1', [74578, 74579]]
['1', [74595, 74596]]
['1', [74611, 74612]]
['1', [74628, 74629]]
['1', [74784, 74785]]
['1', [74894, 74895]]
['1', [74919, 74920]]
['1', [74925, 74926]]
['1', [74932, 74933]]
['1', [74938, 74939]]
['1', [74945, 74946]]
['1', [74951, 74952]]
['1', [74952, 74953]]
['1', [74964, 74965]]
['1', [75064, 75065]]
['1', [75079, 75080]]
['1', [75095, 75096]]
['1', [75226, 75227]]
['1', [75241, 75242]]
['1', [75242, 75243]]
['1', [75390, 75391]]
['1', [75401, 75402]]
['1', [75422, 75423]]
['1', [75447, 75448]]
['1', [75459, 75460]]
['1', [75505, 75506]]
['1', [75548, 75549]]
['1', [75554, 75555]]
['1', [75555, 75556]]
['1', [75560, 75561]]
['1', [75566, 75567]]
['1', [75567, 75568]]
['1', [75572, 75573]]
['1', [75584, 75585]]
['1', [75585, 75586]]
['1', [75608, 75609]]
['1', [75614, 75615]]
['1', [75615, 75616]]
['1', [75620, 75621]]
['1', [75626, 75627]]
['1', [75627, 75628]]
['1', [75632, 75633]]
['1', [75646, 75647]]
['1', [75678, 75679]]
['1', [75679, 75680]]
['1', [75690, 75691]]
['1', [75691, 75692]]
['1', [75730, 75731]]
['1', [75756, 75757]]
['1', [75789, 75790]]
['1', [75795, 75796]]
['1', [75852, 75853]]
['1', [75955, 75956]]
['1', [75964, 75965]]
['1', [75982, 75983]]
['1', [76003, 76004]]
['1', [76016, 76017]]
['1', [76022, 76023]]
['1', [76072, 76073]]
['1', [76121, 76122]]
['1', [76129, 76130]]
['1', [76142, 76143]]
['1', [76172, 76173]]
['1', [76516, 76517]]
['1', [76520, 76521]]
['1', [76611, 76612]]
['1', [76667, 76668]]
['1', [76671, 76672]]
['1', [76879, 76880]]
['1', [76919, 76920]]
['1', [77229, 77230]]
['1', [77245, 77246]]
['1', [77253, 77254]]
['1', [77277, 77278]]
['1', [77312, 77313]]
['1', [77321, 77322]]
['1', [77323, 77324]]
['1', [77354, 77355]]
['1', [77370, 77371]]
['1', [77371, 77372]]
['1', [77407, 77408]]
['1', [77416, 77417]]
['1', [77452, 77453]]
['1', [77453, 77454]]
['1', [77486, 77487]]
['1', [77492, 77493]]
['1', [77553, 77554]]
['1', [77575, 77576]]
['1', [77595, 77596]]
['1', [77690, 77691]]
['1', [77705, 77706]]
['1', [77720, 77721]]
['1', [77734, 77735]]
['1', [77748, 77749]]
['1', [77762, 77763]]
['1', [77776, 77777]]
['1', [77787, 77788]]
['1', [77798, 77799]]
['1', [77822, 77823]]
['1', [77827, 77828]]
['1', [77855, 77856]]
['1', [77862, 77863]]
['1', [77877, 77878]]
['1', [77891, 77892]]
['1', [77898, 77899]]
['1', [77911, 77912]]
['1', [77928, 77929]]
['1', [77946, 77947]]
