['t', [5994, 5995]]
['t', [6002, 6003]]
['t', [6024, 6025]]
['t', [6031, 6032]]
['t', [6033, 6034]]
['t', [6044, 6045]]
['t', [6066, 6067]]
['t', [6079, 6080]]
['t', [6089, 6090]]
['t', [6092, 6093]]
['t', [6096, 6097]]
['t', [6099, 6100]]
['t', [6110, 6111]]
['t', [6134, 6135]]
['t', [6149, 6150]]
['t', [6210, 6211]]
['t', [6255, 6256]]
['t', [6291, 6292]]
['t', [6327, 6328]]
['t', [6330, 6331]]
['t', [6342, 6343]]
['t', [6349, 6350]]
['t', [6425, 6426]]
['t', [6453, 6454]]
['t', [6481, 6482]]
['t', [6488, 6489]]
['t', [6508, 6509]]
['t', [6525, 6526]]
['t', [6565, 6566]]
['t', [6585, 6586]]
['t', [6593, 6594]]
['t', [6612, 6613]]
['t', [6625, 6626]]
['t', [6659, 6660]]
['t', [6670, 6671]]
['t', [6671, 6672]]
['t', [6692, 6693]]
['t', [6702, 6703]]
['t', [6707, 6708]]
['t', [6713, 6714]]
['t', [6723, 6724]]
['t', [6730, 6731]]
['t', [6737, 6738]]
['t', [6739, 6740]]
['t', [6748, 6749]]
['t', [6755, 6756]]
['t', [6762, 6763]]
['t', [6769, 6770]]
['t', [6791, 6792]]
['t', [6800, 6801]]
['t', [6843, 6844]]
['t', [6850, 6851]]
['t', [6857, 6858]]
['t', [6878, 6879]]
['t', [6895, 6896]]
['t', [6902, 6903]]
['t', [6909, 6910]]
['t', [6913, 6914]]
['t', [6915, 6916]]
['t', [6922, 6923]]
['t', [6932, 6933]]
['t', [6938, 6939]]
['t', [6963, 6964]]
['t', [6972, 6973]]
['t', [6979, 6980]]
['t', [7006, 7007]]
['t', [7013, 7014]]
['t', [7034, 7035]]
['t', [7075, 7076]]
['t', [7123, 7124]]
['t', [7129, 7130]]
['t', [7132, 7133]]
['t', [7140, 7141]]
['t', [7153, 7154]]
['t', [7165, 7166]]
['t', [7171, 7172]]
['t', [7186, 7187]]
['t', [7199, 7200]]
['t', [7204, 7205]]
['t', [7228, 7229]]
['t', [7238, 7239]]
['t', [7241, 7242]]
['t', [7248, 7249]]
['t', [7255, 7256]]
['t', [7268, 7269]]
['t', [7275, 7276]]
['t', [7285, 7286]]
